;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-8357 ;Airbus A320-214(WL); C4Y162 ; 31 Mar 2016 ;lsd ; 6 Years ;;;
; B-8546 ;Airbus A320-214(WL); C4Y162 ; 16 Jun 2016 ; Parked, lsd ; 5.7 Years ;;;
; B-8547 ;Airbus A320-214(WL); C4Y162 ; 23 Aug 2016 ;lsd ; 5.6 Years ;;;
; B-8847 ;Airbus A320-214(WL); C4Y162 ; 29 Mar 2017 ;lsd ; 5 Years ;;;
; B-8989 ;Airbus A320-214(WL); C4Y162 ; 18 Jul 2017 ;lsd ; 4.6 Years ;;;
; B-8990 ;Airbus A320-214(WL); C4Y162 ; 16 Aug 2017 ;lsd ; 4.6 Years ;;;
; B-8991 ;Airbus A320-214(WL); C4Y162 ; 17 Oct 2017 ;lsd ; 4.5 Years ;;;
; B-9911 ;Airbus A320-232; C4Y156 ; 24 Apr 2013 ;lsd ; 8.9 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-9912 ;Airbus A320-232; C4Y156 ; 7 Jun 2013 ;lsd ; 8.8 Years ;;;
; B-9913 ;Airbus A320-232; C8Y144 ; 27 Apr 2013 ;lsd ; 8.9 Years ;;;
; B-9915 ;Airbus A320-232; C8Y144 ; 11 May 2013 ;lsd ; 8.8 Years ;;;
; B-9916 ;Airbus A320-232; C4Y156 ; 28 Jun 2013 ;lsd ; 8.7 Years ;;;
; B-9917 ;Airbus A320-232; C8Y144 ; 25 Apr 2013 ; Parked, lsd ; 8.9 Years ;;;
; B-9929 ;Airbus A320-214; C8Y144 ; 25 Jul 2013 ;lsd ; 8.7 Years ;;;
; B-9930 ;Airbus A320-214; C8Y144 ; 2 Aug 2013 ;lsd ; 8.6 Years ;;;
; B-9931 ;Airbus A320-232; C4Y156 ; 9 Aug 2013 ;lsd ; 8.6 Years ;;;
; B-9951 ;Airbus A320-232; C4Y156 ; 27 Sep 2013 ;; 8.5 Years ;;;
; B-9952 ;Airbus A320-232; C8Y144 ; 26 Sep 2013 ;lsd ; 8.5 Years ;;;
; B-9953 ;Airbus A320-232; C8Y144 ; 31 Oct 2013 ;lsd ; 8.4 Years ;;;
; B-9958 ;Airbus A320-232; C4Y156 ; 2 Dec 2013 ;lsd ; 8.3 Years ;;;
; B-9959 ;Airbus A320-232; C4Y156 ; 23 Dec 2013 ;lsd ; 8.2 Years ;;;
; B-301A ;Airbus A320-251N; C4Y162 ; 13 Sep 2018 ;lsd ; 3.5 Years ;;;
; B-301G ;Airbus A320-251N; C4Y162 ; 27 Sep 2018 ;lsd ; 3.5 Years ;;;
; B-301H ;Airbus A320-251N; C4Y162 ; 16 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-301J ;Airbus A320-251N; C4Y162 ; 11 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-301K ;Airbus A320-251N; C4Y162 ; 21 Dec 2018 ;lsd ; 3.2 Years ;;;
; B-301L ;Airbus A320-251N; C4Y162 ; 28 Dec 2018 ;lsd ; 3.2 Years ;;;
; B-301W ;Airbus A320-251N; C4Y162 ; 15 Nov 2018 ;; 3.3 Years ;;;
; B-301Y ;Airbus A320-251N; C4Y162 ; 29 Nov 2018 ;lsd ; 3.3 Years ;;;
; B-305C ;Airbus A320-251N; C4Y162 ; 21 Feb 2019 ;lsd ; 3.1 Years ;;;
; B-305D ;Airbus A320-251N; C4Y162 ; 29 Jan 2019 ;lsd ; 3.1 Years ;;;
; B-305E ;Airbus A320-251N; C4Y162 ; 21 Feb 2019 ;lsd ; 3.1 Years ;;;
; B-306G ;Airbus A320-251N; C4Y162 ; 28 Mar 2019 ;lsd ; 3 Years ;;;
; B-306M ;Airbus A320-251N; C4Y162 ; 10 Oct 2019 ;lsd ; 2.4 Years ;;;
; B-309K ;Airbus A320-251N; C4Y162 ; 9 Jul 2019 ;lsd ; 2.7 Years ;;;
; B-309L ;Airbus A320-251N; C4Y162 ; 28 Jun 2019 ;lsd ; 2.7 Years ;;;
; B-309M ;Airbus A320-251N; C4Y162 ; 9 Dec 2019 ;lsd ; 2.3 Years ;;;
; B-309X ;Airbus A320-251N; C4Y162 ; 25 Jul 2019 ;lsd ; 2.6 Years ;;;
; B-309Y ;Airbus A320-251N; C4Y162 ; 22 Aug 2019 ;lsd ; 2.6 Years ;;;
; B-30A8 ;Airbus A320-251N; C4Y162 ; 16 Oct 2019 ;; 2.4 Years ;;;
; B-30AA ;Airbus A320-251N; C4Y162 ; 11 Sep 2019 ;lsd ; 2.5 Years ;;;
; B-30AJ ;Airbus A320-251N; C4Y162 ; 16 Oct 2019 ;lsd ; 2.4 Years ;;;
; B-30AK ;Airbus A320-251N; C4Y162 ; 15 Nov 2019 ;lsd ; 2.3 Years ;;;
; B-30CC ;Airbus A320-251N; C4Y162 ; 23 Dec 2019 ;lsd ; 2.2 Years ;;;
; B-30CD ;Airbus A320-251N; C4Y162 ; 20 Dec 2019 ;lsd ; 2.2 Years ;;;
; B-30DG ;Airbus A320-251N; C4Y162 ; 27 May 2020 ;lsd ; 2 Years ;;;
; B-30EZ ;Airbus A320-251N; C4Y162 ; 22 Jun 2020 ;lsd ; 1.8 Years ;;;
; B-30F8 ;Airbus A320-251N; C4Y162 ; 24 Jun 2020 ;lsd ; 1.7 Years ;;;
; B-30FX ;Airbus A320-251N; C4Y162 ; 5 Nov 2020 ;lsd ; 1.4 Years ;;;
; B-322F ;Airbus A320-251N; C4Y162 ; 25 Feb 2021 ;; 1.1 Years ;;;
; B-322V ;Airbus A320-251N; C4Y162 ; 31 Mar 2021 ;; 1 Years ;;;
; B-323E ;Airbus A320-251N; C4Y162 ; 20 Apr 2021 ;; 0.9 Years ;;;
; B-325D ;Airbus A320-251N; C4Y162 ; 31 Aug 2021 ;; 0.5 Years ;;;
; B-8545 ;Airbus A320-271N; C4Y162 ; 13 Dec 2016 ;lsd ; 5.7 Years ;;;
; B-8637 ;Airbus A320-271N; C4Y162 ; 16 Dec 2016 ;lsd ; 5.4 Years ;;;
; B-8670 ;Airbus A320-271N; C4Y162 ; 14 Feb 2017 ;lsd ; 5.1 Years ;;;
; B-8671 ;Airbus A320-271N; C4Y162 ; 27 Feb 2017 ;lsd ; 5 Years ;;;
; B-8672 ;Airbus A320-271N; C4Y162 ; 23 Feb 2017 ;lsd ; 5.1 Years ;;;
; B-8673 ;Airbus A320-271N; C4Y162 ; 30 Mar 2017 ;lsd ; 5 Years ;;;
; B-8965 ;Airbus A320-271N; C4Y162 ; 22 Jun 2017 ;lsd ; 4.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
