;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N335FR ;Airbus A320-251N; Y186 ; 7 Aug 2018 ;lsd ; 335 ; Jo Jo the Grizzly Bear ; 3.6 Years ;;;
; N336FR ;Airbus A320-251N; Y186 ; 31 Jul 2018 ;lsd ; 336 ; Rosie the River Otter ; 3.6 Years ;;;
; N337FR ;Airbus A320-251N; Y186 ; 25 Oct 2018 ;lsd ; 337 ; Hunter the Bobcat ; 3.4 Years ;;;
; N338FR ;Airbus A320-251N; Y186 ; 30 Aug 2018 ;lsd ; 338 ; North the Harp Seal ; 3.5 Years ;;;
; N339FR ;Airbus A320-251N; Y186 ; 25 Oct 2018 ;lsd ; 339 ; Eccles the Ermine ; 3.4 Years ;;;
; N341FR ;Airbus A320-251N; Y186 ; 18 Oct 2018 ;lsd ; 341 ; Fran the Sea Lion ; 3.4 Years ;;;
; N342FR ;Airbus A320-251N; Y186 ; 8 Nov 2018 ;lsd ; 342 ; Baja the Whale Shark ; 3.3 Years ;;;
; N343FR ;Airbus A320-251N; Y186 ; 11 Dec 2018 ;lsd ; 343 ; Meadow & West The Horses ; 3.3 Years ;;;
; N344FR ;Airbus A320-251N; Y186 ; 13 Dec 2018 ;lsd ; 344 ; Ed, Edwin & Eddie the Penguins ; 3.2 Years ;;;
; N346FR ;Airbus A320-251N; Y186 ; 31 Jan 2019 ;lsd ; 346 ; Al the Roadrunner ; 3.2 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N347FR ;Airbus A320-251N; Y186 ; 28 Mar 2019 ;lsd ; 347 ; Lone Star the Longhorn Steer ; 2.9 Years ;;;
; N348FR ;Airbus A320-251N; Y186 ; 29 May 2019 ;lsd ; 348 ; Clover the Deer Fawn ; 2.8 Years ;;;
; N349FR ;Airbus A320-251N; Y186 ; 22 Mar 2019 ;lsd ; 349 ; Hops the Rabbit ; 3 Years ;;;
; N350FR ;Airbus A320-251N; Y186 ; 23 Apr 2019 ;lsd ; 350 ; Miracle the Seagull ; 2.9 Years ;;;
; N351FR ;Airbus A320-251N; Y186 ; 9 May 2019 ;lsd ; 351 ; Joey the Opossum ; 2.8 Years ;;;
; N352FR ;Airbus A320-251N; Y186 ; 20 Jun 2019 ;lsd ; 352 ; Rio the Jaguarundi ; 2.7 Years ;;;
; N353FR ;Airbus A320-251N; Y186 ; 27 Jun 2019 ; Parked, lsd ; 353 ; Blanco the Polar Bear ; 2.7 Years ;;;
; N354FR ;Airbus A320-251N; Y186 ; 28 Jun 2019 ;lsd ; 354 ; Scarlet the Tanager ; 2.7 Years ;;;
; N356FR ;Airbus A320-251N; Y186 ; 26 Jul 2019 ;lsd ; 356 ; O'Malley the Mallard Duck ; 2.6 Years ;;;
; N358FR ;Airbus A320-251N; Y186 ; 19 Aug 2019 ;lsd ; 358 ; Ichabod the Whooping Crane ; 2.6 Years ;;;
; N359FR ;Airbus A320-251N; Y186 ; 1 Oct 2019 ;lsd ; 359 ; Cookie the Oriole ; 2.4 Years ;;;
; N360FR ;Airbus A320-251N; Y186 ; 17 Oct 2019 ;lsd ; 360 ; Ruby the Reindeer ; 2.4 Years ;;;
; N361FR ;Airbus A320-251N; Y186 ; 24 Oct 2019 ;lsd ; 361 ; Wylie the Coati ; 2.4 Years ;;;
; N362FR ;Airbus A320-251N; Y186 ; 25 Oct 2019 ;; 362 ; Wellington the Black-Footed Ferret ; 2.4 Years ;;;
; N363FR ;Airbus A320-251N; Y186 ; 14 Nov 2019 ;; 363 ; Ward the Beaver ; 2.3 Years ;;;
; N364FR ;Airbus A320-251N; Y186 ; 10 Dec 2019 ;; 364 ; Tex the Armadillo ; 2.3 Years ;;;
; N365FR ;Airbus A320-251N; Y186 ; 13 Dec 2019 ;; 365 ; Marshall the Ring-tailed Cat ; 2.2 Years ;;;
; N366FR ;Airbus A320-251N; Y186 ; 2 Mar 2020 ;lsd ; 366 ; Kit the Kermode Bear ; 2 Years ;;;
; N367FR ;Airbus A320-251N; Y186 ; 26 Feb 2020 ;; 367 ; Austin the Northern Mockingbird ; 2 Years ;;;
; N368FR ;Airbus A320-251N; Y186 ; 29 Jul 2020 ;lsd ; 368 ; Cortez the Green Turtle ; 1.8 Years ;;;
; N369FR ;Airbus A320-251N; Y186 ; 29 Jul 2020 ;lsd ; 369 ; Chinook the Gray Wolf ; 1.7 Years ;;;
; N370FR ;Airbus A320-251N; Y186 ; 16 Mar 2020 ;lsd ; 370 ; Elrey the Elk ; 2 Years ;;;
; N371FR ;Airbus A320-251N; Y186 ; 30 Jul 2020 ;lsd ; 371 ; Parish & Daisy the Burrowing Owls ; 1.6 Years ;;;
; N372FR ;Airbus A320-251N; Y186 ; 10 Sep 2020 ;lsd ; 372 ; Watson the Key Deer ; 1.5 Years ;;;
; N373FR ;Airbus A320-251N; Y186 ; 16 Mar 2021 ;lsd ; 373 ; Francie the Piping Plover ; 1 Years ;;;
; N374FR ;Airbus A320-251N; Y186 ; 29 Apr 2021 ;lsd ; 374 ; Crystal the Florida Manatee ; 0.9 Years ;;;
; N375FR ;Airbus A320-251N; Y186 ; 15 Dec 2020 ;lsd ; 375 ; Piper the White Pelican ; 1.2 Years ;;;
; N376FR ;Airbus A320-251N; Y186 ; 4 Dec 2020 ;lsd ; 376 ; Cruz the Island Fox ; 1.3 Years ;;;
; N377FR ;Airbus A320-251N; Y186 ; 30 Mar 2021 ;lsd ; 377 ; Odell the Lynx ; 0.9 Years ;;;
; N378FR ;Airbus A320-251N; Y186 ; 20 Apr 2021 ;; 378 ; Lewis the Greater Sage-Grouse ; 0.9 Years ;;;
; N379FR ;Airbus A320-251N; Y186 ; 23 Mar 2021 ;lsd ; 379 ; Hudson the Bog Turtle ; 1 Years ;;;
; N380FR ;Airbus A320-251N; Y186 ; 19 May 2021 ;; 380 ; Verde the Resplendent Quetzal ; 0.8 Years ;;;
; N381FR ;Airbus A320-251N; Y186 ; 27 Apr 2021 ;; 381 ; Monte the Margay Cat ; 0.9 Years ;;;
; N382FR ;Airbus A320-251N; Y186 ; 20 Jul 2021 ;; 382 ; Sonny the Lemon Shark ; 0.6 Years ;;;
; N383FR ;Airbus A320-251N; Y186 ; 17 Jun 2021 ;lsd ; 383 ; Manteo the Red Wolf ; 0.7 Years ;;;
; N384FR ;Airbus A320-251N; Y186 ; 18 Aug 2021 ;lsd ; 384 ; Mojave the Desert Tortoise ; 0.6 Years ;;;
; N385FR ;Airbus A320-251N; Y186 ; 19 Aug 2021 ;lsd ; 385 ; Percy the Florida Panther ; 0.6 Years ;;;
; N386FR ;Airbus A320-251N; Y186 ; 29 Sep 2021 ;; 386 ; Forest the Northern Spotted Owl ; 0.4 Years ;;;
; N387FR ;Airbus A320-251N; Y186 ; 30 Sep 2021 ;; 387 ; Joaquin the Kit Fox ; 0.4 Years ;;;
; N388FR ;Airbus A320-251N; Y186 ; 20 Jan 2022 ;; 388 ; Rocket the Hammerhead Shark ; 0.1 Years ;;;
; N701FR ;Airbus A321-211(WL); Y230 ; 8 Oct 2015 ;; 701 ; Otto the Owl ; 6.4 Years ;;;
; N702FR ;Airbus A321-211(WL); Y230 ; 28 Oct 2015 ;lsd ; 702 ; Courtney The Cougar ; 6.4 Years ;;;
; N704FR ;Airbus A321-211(WL); Y230 ; 6 Nov 2015 ;; 704 ; Virginia the Wolf ; 6.4 Years ;;;
; N705FR ;Airbus A321-211(WL); Y230 ; 10 Dec 2015 ;lsd ; 705 ; Ferndale the Pygmy Owl ; 6.2 Years ;;;
; N706FR ;Airbus A321-211(WL); Y230 ; 29 Dec 2015 ;lsd ; 706 ; Max the Lynx ; 6.2 Years ;;;
; N708FR ;Airbus A321-211(WL); Y230 ; 23 Mar 2016 ; Parked, lsd ; 708 ; Joe Bob the Badger ; 6 Years ;;;
; N709FR ;Airbus A321-211(WL); Y230 ; 28 Apr 2016 ;lsd ; 709 ; Steve the Eagle ; 5.9 Years ;;;
; N710FR ;Airbus A321-211(WL); Y230 ; 16 Jun 2016 ;lsd ; 710 ; Fallon the Falcon ; 5.7 Years ;;;
; N711FR ;Airbus A321-211(WL); Y230 ; 28 Jun 2016 ;lsd ; 711 ; Powder the Polar Bear ; 5.7 Years ;;;
; N712FR ;Airbus A321-211(WL); Y230 ; 5 Jul 2016 ;lsd ; 712 ; Spot the Jaguar ; 5.7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N713FR ;Airbus A321-211(WL); Y230 ; 30 Aug 2016 ;lsd ; 713 ; Mitch the Wolverine ; 5.5 Years ;;;
; N714FR ;Airbus A321-211(WL); Y230 ; 7 Sep 2016 ;lsd ; 714 ; Cubby the Bear ; 5.5 Years ;;;
; N715FR ;Airbus A321-211(WL); Y230 ; 28 Sep 2016 ; Parked, lsd ; 715 ; Cactus the Coyote ; 5.4 Years ;;;
; N716FR ;Airbus A321-211(WL); Y230 ; 26 Jan 2017 ;lsd ; 716 ; Seymour the Walrus ; 5.1 Years ;;;
; N717FR ;Airbus A321-211(WL); Y230 ; 14 Feb 2017 ;lsd ; 717 ; Luna & Lilly the Wolves ; 5.1 Years ;;;
; N718FR ;Airbus A321-211(WL); Y230 ; 9 Mar 2017 ;lsd ; 718 ; Cali the Mountain Lion ; 5 Years ;;;
; N719FR ;Airbus A321-211(WL); Y230 ; 19 Jun 2017 ;lsd ; 719 ; Midnight the Wolf ; 4.7 Years ;;;
; N720FR ;Airbus A321-211(WL); Y230 ; 6 Oct 2017 ;lsd ; 720 ; Crockett the Raccoon ; 4.4 Years ;;;
; N721FR ;Airbus A321-211(WL); Y230 ; 29 Nov 2017 ;lsd ; 721 ; Cody & Dakota the Coyotes ; 4.3 Years ;;;
; N722FR ;Airbus A321-211(WL); Y230 ; 29 Nov 2018 ;lsd ; 722 ; Xavier the Mountain Goat ; 3.3 Years ;;;
; N723FR ;Airbus A321-211(WL); Y230 ; 18 Dec 2018 ;lsd ; 723 ; Gordon The Golden Eagle ; 3.2 Years ;;;
