;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; HL8041 ;Boeing 777-3B5ER; F8C42Y227 ; 27 May 2016 ;; 5.8 Years ;;;
; HL8042 ;Boeing 777-3B5ER; F8C42Y227 ; 28 Jun 2016 ;; 5.7 Years ;;;
; HL8208 ;Boeing 777-3B5ER; F8C56Y227 ; 10 May 2010 ;; 11.8 Years ;;;
; HL8209 ;Boeing 777-3B5ER; F8C56Y227 ; 9 Jun 2010 ;; 11.8 Years ;;;
; HL8210 ;Boeing 777-3B5ER; F8C56Y227 ; 16 Jul 2010 ;; 11.7 Years ;;;
; HL8216 ;Boeing 777-3B5ER; F8C56Y227 ; 18 May 2011 ;; 10.8 Years ;;;
; HL8217 ;Boeing 777-3B5ER; F8C56Y227 ; 7 Jun 2011 ;; 10.7 Years ;;;
; HL8218 ;Boeing 777-3B5ER; F8C56Y227 ; 21 Nov 2011 ;; 10.3 Years ;;;
; HL8250 ;Boeing 777-3B5ER; F8C56Y227 ; 25 Jun 2012 ;; 9.7 Years ;;;
; HL8274 ;Boeing 777-3B5ER; F8C56Y227 ; 28 Feb 2013 ;; 9.1 Years ;;;
; HL8275 ;Boeing 777-3B5ER; F8C56Y227 ; 11 Jun 2013 ;; 8.8 Years ;;;
; HL8346 ;Boeing 777-300ER; F8C42Y227 ; 14 May 2019 ;; 2.9 Years ;;;
; HL8347 ;Boeing 777-300ER; F8C42Y227 ; 28 Jun 2019 ;; 2.7 Years ;;;
; HL8005 ;Boeing 777-FB5; Cargo ; 24 Feb 2015 ;; 7.1 Years ;;;
; HL8043 ;Boeing 777-FB5; Cargo ; 31 Aug 2016 ;lsd ; 5.5 Years ;;;
; HL8044 ;Boeing 777-FB5; Cargo ; 29 Sep 2016 ;lsd ; 5.4 Years ;;;
; HL8045 ;Boeing 777-FB5; Cargo ; 31 Oct 2016 ;lsd ; 5.4 Years ;;;
; HL8046 ;Boeing 777-FB5; Cargo ; 19 Dec 2016 ;lsd ; 5.3 Years ;;;
; HL8075 ;Boeing 777-FEZ; Cargo ; 24 Jun 2016 ;lsd ; 6.1 Years ;;;
; HL8076 ;Boeing 777-FB5; Cargo ; 28 Oct 2016 ;lsd ; 5.4 Years ;;;
; HL8077 ;Boeing 777-FB5; Cargo ; 16 Oct 2017 ;; 4.4 Years ;;;
; HL8226 ;Boeing 777-FB5; Cargo ; 25 Feb 2013 ;; 9.1 Years ;;;
; HL8251 ;Boeing 777-FB5; Cargo ; 6 Feb 2012 ;; 10.1 Years ;;;
; HL8252 ;Boeing 777-FB5; Cargo ; 29 Jun 2012 ;; 9.7 Years ;;;
; HL8285 ;Boeing 777-FB5; Cargo ; 24 Feb 2014 ;; 8.1 Years ;;;
; HL ;Boeing 787-8 Dreamliner; VIP ; Due ; Stored ; 7 Years ;;;
; HL7206 ;Boeing 787-9 Dreamliner; C24Y245 ; 14 Jun 2018 ;; 3.8 Years ;;;
; HL7207 ;Boeing 787-9 Dreamliner; C24Y245 ; 25 Jul 2018 ;; 3.6 Years ;;;
; HL7208 ;Boeing 787-9 Dreamliner; C24Y245 ; 20 Sep 2018 ;; 3.5 Years ;;;
; HL7209 ;Boeing 787-9 Dreamliner; C24Y245 ; 19 Dec 2018 ;; 3.2 Years ;;;
; HL8081 ;Boeing 787-9 Dreamliner; C24Y245 ; 21 Feb 2017 ;; 5.1 Years ;;;
; HL8082 ;Boeing 787-9 Dreamliner; C24Y245 ; 25 Apr 2017 ;; 4.9 Years ;;;
; HL8083 ;Boeing 787-9 Dreamliner; C24Y245 ; 12 Jul 2017 ;; 4.7 Years ;;;
; HL8084 ;Boeing 787-9 Dreamliner; C24Y245 ; 7 Sep 2017 ;; 4.5 Years ;;;
; HL8085 ;Boeing 787-9 Dreamliner; C24Y245 ; 20 Dec 2017 ;lsd ; 4.2 Years ;;;
; HL8345 ;Boeing 787-9 Dreamliner; C24Y245 ; 12 Mar 2019 ;; 3 Years ;;;
; HL8390 ;Boeing 787-9 Dreamliner; C24Y245 ; On Order ;; 1.1 Years ;;;
; HL8391 ;Boeing 787-9 Dreamliner; C24Y245 ; On Order ;; 1 Years ;;;
; HL8392 ;Boeing 787-9 Dreamliner; C24Y245 ; On Order ;; 0.6 Years ;;;
; HL8393 ;Boeing 787-9 Dreamliner; C24Y245 ; On Order ;; 0.7 Years ;;;
; HL7200 ;Bombardier CSeries CS300 (BD-500-1A11); Y140 ; 13 Mar 2018 ; Parked ; 4.1 Years ;;;
; HL7201 ;Bombardier CSeries CS300 (BD-500-1A11); Y140 ; 30 Mar 2018 ;; 4 Years ;;;
; HL8092 ;Bombardier CSeries CS300 (BD-500-1A11); Y140 ; 23 Dec 2017 ;; 4.4 Years ;;;
; HL8093 ;Bombardier CSeries CS300 (BD-500-1A11); Y140 ; 30 Dec 2017 ;; 4.3 Years ;;;
; HL8311 ;Bombardier CSeries CS300 (BD-500-1A11); Y140 ; 9 Jul 2018 ;; 3.7 Years ;;;
; HL8313 ;Bombardier CSeries CS300 (BD-500-1A11); Y140 ; 31 May 2018 ;; 3.8 Years ;;;
