;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-5513 ;Boeing 737-86N(WL); C8Y160 ; 9 Jun 2010 ;lsd ; 11.8 Years ;;;
; B-5516 ;Boeing 737-86N(WL); C8Y162 ; 9 Jul 2020 ;lsd ; 11.7 Years ;;;
; B-5536 ;Boeing 737-8AL(WL); C8Y160 ; 27 Jul 2010 ;lsd ; 11.6 Years ;;;
; B-5537 ;Boeing 737-8AL(WL); C8Y160 ; 5 Aug 2010 ;lsd ; 11.6 Years ;;;
; B-5541 ;Boeing 737-85N(WL); C8Y160 ; 16 Aug 2010 ;lsd ; 11.6 Years ;;;
; B-5542 ;Boeing 737-85N(WL); C8Y160 ; 20 Sep 2010 ;lsd ; 11.5 Years ;;;
; B-5543 ;Boeing 737-86N(WL); C8Y160 ; 27 Oct 2010 ;lsd ; 11.4 Years ;;;
; B-5546 ;Boeing 737-86N(WL); C8Y162 ; 23 Aug 2020 ;lsd ; 11.4 Years ;;;
; B-5548 ;Boeing 737-86N(WL); C8Y162 ; 7 Aug 2020 ;lsd ; 11.3 Years ;;;
; B-5560 ;Boeing 737-86N(WL); C8Y160 ; 24 Feb 2011 ;lsd ; 11 Years ;;;
; B-5561 ;Boeing 737-86N(WL); C8Y160 ; 23 Mar 2011 ;lsd ; 11 Years ;;;
; B-5590 ;Boeing 737-85N(WL); C8Y160 ; 21 Jul 2011 ;3rd Asian Beach Games cs ; 10.7 Years ;;;
; B-5591 ;Boeing 737-8HX(WL); C8Y160 ; 28 Jul 2011 ;lsd ; 10.6 Years ;;;
; B-5592 ;Boeing 737-8HX(WL); C8Y168 ; 31 Aug 2011 ;lsd ; 10.5 Years ;;;
; B-5593 ;Boeing 737-85N(WL); C8Y160 ; 16 Aug 2011 ;lsd ; 10.6 Years ;;;
; B-5626 ;Boeing 737-8HX(WL); C8Y160 ; 19 Jan 2012 ;lsd ; 10.1 Years ;;;
; B-5627 ;Boeing 737-85N(WL); C8Y168 ; 17 Jan 2012 ;lsd ; 10.2 Years ;;;
; B-5628 ;Boeing 737-85N(WL); C8Y160 ; 21 Feb 2012 ;lsd ; 10.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-5629 ;Boeing 737-85N(WL); C8Y160 ; 9 Mar 2012 ;lsd ; 10 Years ;;;
; B-5648 ;Boeing 737-85N(WL); C8Y160 ; 8 May 2012 ;; 9.8 Years ;;;
; B-5649 ;Boeing 737-85N(WL); C8Y160 ; 6 Jun 2012 ;; 9.8 Years ;;;
; B-5650 ;Boeing 737-85N(WL); C8Y160 ; 13 Jul 2012 ;; 9.7 Years ;;;
; B-5651 ;Boeing 737-85N(WL); C8Y160 ; 20 Aug 2012 ;Zhongtai Securities cs ; 9.6 Years ;;;
; B-5652 ;Boeing 737-85N(WL); C8Y160 ; 4 Dec 2012 ;Zhongtai Securities cs ; 9.3 Years ;;;
; B-5723 ;Boeing 737-85N(WL); C8Y160 ; 17 Jan 2013 ;lsd ; 9.2 Years ;;;
; B-5725 ;Boeing 737-85N(WL); C8Y160 ; 25 Feb 2013 ;lsd ; 9 Years ;;;
; B-5726 ;Boeing 737-85N(WL); C8Y160 ; 11 Mar 2013 ;lsd ; 9 Years ;;;
; B-5727 ;Boeing 737-85N(WL); C8Y160 ; 8 Apr 2013 ;lsd ; 8.9 Years ;;;
; B-5728 ;Boeing 737-89L(WL); C8Y168 ; 24 May 2013 ;lsd ; 8.8 Years ;;;
; B-5755 ;Boeing 737-89L(WL); C8Y168 ; 21 Jun 2013 ;lsd ; 8.7 Years ;;;
; B-5757 ;Boeing 737-89L(WL); C8Y168 ; 23 Jul 2013 ;lsd ; 8.6 Years ;;;
; B-5758 ;Boeing 737-89L(WL); C8Y168 ; 26 Aug 2013 ;lsd ; 8.6 Years ;;;
; B-5781 ;Boeing 737-85N(WL); C8Y160 ; 12 Jun 2013 ;lsd ; 8.7 Years ;;;
; B-5782 ;Boeing 737-85N(WL); C8Y160 ; 10 Jun 2013 ;lsd ; 8.8 Years ;;;
; B-5783 ;Boeing 737-85N(WL); C8Y160 ; 9 Jul 2013 ;lsd ; 8.7 Years ;;;
; B-5785 ;Boeing 737-85N(WL); C8Y160 ; 15 Aug 2013 ;lsd, DEEJ cs ; 8.6 Years ;;;
; B-5786 ;Boeing 737-85N(WL); C8Y160 ; 5 Aug 2013 ;lsd, China Arts Festival cs ; 8.6 Years ;;;
; B-5787 ;Boeing 737-85N(WL); C8Y160 ; 28 Oct 2013 ;lsd, Expo 2014 cs ; 8.4 Years ;;;
; B-5856 ;Boeing 737-89L(WL); C8Y168 ; 6 Dec 2013 ;lsd, International Horticultural Exposition 2014 Qingdao cs ; 8.3 Years ;;;
; B-6985 ;Boeing 737-85N(WL); C8Y168 ; 27 Aug 2015 ;lsd ; 6.6 Years ;;;
; B-6986 ;Boeing 737-85N(WL); C8Y168 ; 25 Sep 2015 ;lsd ; 6.5 Years ;;;
