;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; OH-ATO ;ATR 72-500 (72-212A); Y72 ; 15 Jun 2020 ;opby NORRA - Nordic Regional Airlines ; 10.3 Years ;;;
; OH-ATP ;ATR 72-500 (72-212A); Y72 ; 10 Jun 2019 ;opby NORRA - Nordic Regional Airlines ; 9.4 Years ;;;
; OH-LKE ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 15 Dec 2006 ;lsd, opby NORRA - Nordic Regional Airlines ; 15.3 Years ;;;
; OH-LKF ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 29 Mar 2007 ; Parked, lsd, opby NORRA - Nordic Regional Airlines ; 15.1 Years ;;;
; OH-LKG ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 10 May 2007 ;lsd, opby NORRA - Nordic Regional Airlines ; 14.9 Years ;;;
; OH-LKH ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 28 Jun 2007 ;lsd, opby NORRA - Nordic Regional Airlines ; 14.8 Years ;;;
; OH-LKI ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 17 Oct 2007 ;lsd, opby NORRA - Nordic Regional Airlines ; 14.5 Years ;;;
; OH-LKK ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 21 Nov 2007 ; Parked, lsd, opby NORRA - Nordic Regional Airlines ; 14.4 Years ;;;
; OH-LKL ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 27 Feb 2008 ;lsd, opby NORRA - Nordic Regional Airlines ; 14 Years ;;;
; OH-LKM ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 27 Mar 2008 ;lsd, opby NORRA - Nordic Regional Airlines ; 14 Years ;;;
; OH-LKN ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 12 Feb 2009 ;lsd, opby NORRA - Nordic Regional Airlines, oneworld cs ; 13.1 Years ;;;
; OH-LKO ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 27 Mar 2009 ;lsd, opby NORRA - Nordic Regional Airlines ; 13 Years ;;;
; OH-LKP ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 17 Mar 2011 ;lsd, opby NORRA - Nordic Regional Airlines ; 11 Years ;;;
; OH-LKR ;Embraer ERJ-190LR (ERJ-190-100 LR); Y100 ; 19 May 2011 ;lsd, opby NORRA - Nordic Regional Airlines ; 10.9 Years ;;;
