;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; PH-BXZ ;Boeing 737-8K2(WL); CY180 ; 5 Mar 2008 ;lsd ; XZ-318 ; Uil / Owl ; 14 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; PH-HSD ;Boeing 737-8K2(WL); CY180 ; 19 Feb 2017 ;; SD-326 ; Groene Specht / Green Woodpecker ; 11 Years ;;;
; PH-HSE ;Boeing 737-8K2(WL); CY180 ; 26 Feb 2017 ;; SE-327 ; Blauwstaart / Blue Tail ; 10.8 Years ;;;
; PH-BXO ;Boeing 737-9K2(WL); CY189 ; 28 Jun 2001 ;lsd, SkyTeam cs ; XO-401 ; Plevier / Plover ; 20.7 Years ;;;
; PH-BXP ;Boeing 737-9K2(WL); CY189 ; 24 Aug 2001 ;lsd ; XP-402 ; Meerkoet / Crested Coot ; 20.6 Years ;;;
; PH-BXR ;Boeing 737-9K2(WL); CY189 ; 3 Oct 2001 ;lsd ; XR-403 ; Nachtegaal / Nightingale ; 20.5 Years ;;;
; PH-BXS ;Boeing 737-9K2(WL); CY189 ; 27 Oct 2001 ;; XS-404 ; Buizerd / Buzzard ; 20.4 Years ;;;
; PH-BXT ;Boeing 737-9K2(WL); CY189 ; 12 May 2004 ;; XT-405 ; Zeestern / Sea Tern ; 17.8 Years ;;;
; PH-CKA ;Boeing 747-406ERF; Cargo ; 31 Mar 2003 ;opby Martinair Holland ; KA-050 ; Eendracht ; 19 Years ;;;
; PH-CKB ;Boeing 747-406ERF; Cargo ; 30 Apr 2003 ;opby Martinair Holland ; KB-051 ; Leeuwin ; 18.9 Years ;;;
; PH-CKC ;Boeing 747-406ERF; Cargo ; 3 Feb 2004 ;opby Martinair Holland ; KC-052 ; Oranje / Orange ; 18.1 Years ;;;
; PH-BQA ;Boeing 777-206ER; C34W40Y242 ; 23 Oct 2003 ;; QA-001 ; Albert Plesman ; 18.5 Years ;;;
; PH-BQB ;Boeing 777-206ER; C34W40Y242 ; 7 Nov 2003 ;; QB-002 ; Borobudur ; 18.4 Years ;;;
; PH-BQC ;Boeing 777-206ER; C34W40Y242 ; 24 Nov 2003 ;lsd ; QC-003 ; Chichen-Itza ; 18.3 Years ;;;
; PH-BQD ;Boeing 777-206ER; C34W40Y242 ; 22 Dec 2003 ;; QD-004 ; Darjeeling Railway ; 18.2 Years ;;;
; PH-BQE ;Boeing 777-206ER; C34W40Y242 ; 12 Feb 2004 ;lsd ; QE-005 ; Epidaurus ; 18.1 Years ;;;
; PH-BQF ;Boeing 777-206ER; C34W40Y242 ; 30 Mar 2004 ;lsd, "KLM Asia" titles ; QF-006 ; Ferrara City ; 17.9 Years ;;;
; PH-BQG ;Boeing 777-206ER; C34W40Y242 ; 23 Apr 2004 ;; QG-007 ; Galápagos Islands ; 17.9 Years ;;;
; PH-BQH ;Boeing 777-206ER; C34W40Y242 ; 19 Oct 2004 ; Parked, "KLM Asia" titles ; QH-008 ; Hadrian's Wall ; 17.4 Years ;;;
; PH-BQI ;Boeing 777-206ER; C34W40Y242 ; 12 Dec 2004 ;"KLM Asia" titles ; QI-009 ; Iguazú Falls ; 17.3 Years ;;;
; PH-BQK ;Boeing 777-206ER; C34W40Y242 ; 24 Jan 2005 ;lsd ; QK-010 ; Mount Kilimanjaro ; 17.1 Years ;;;
; PH-BQL ;Boeing 777-206ER; C34W40Y242 ; 28 Feb 2006 ;; QL-011 ; Litomyšl Castle ; 16 Years ;;;
; PH-BQM ;Boeing 777-206ER; C34W40Y242 ; 11 Apr 2006 ;; QM-012 ; Machu Picchu ; 15.9 Years ;;;
; PH-BQN ;Boeing 777-206ER; C34W40Y242 ; 19 Apr 2006 ; Parked, lsd ; QN-013 ; Nahanni National Park ; 15.9 Years ;;;
; PH-BQO ;Boeing 777-206ER; C34W40Y242 ; 29 Jan 2007 ;lsd ; QO-014 ; Old Rauma ; 15.1 Years ;;;
; PH-BQP ;Boeing 777-206ER; C34W40Y242 ; 27 Apr 2007 ; Parked, lsd ; QP-015 ; Pont du Gard ; 14.9 Years ;;;
; PH-BVA ;Boeing 777-306ER; C34W40Y334 ; 12 Feb 2008 ;#OrangePride cs ; VA-025 ; Nationaal Park De Hoge Veluwe / De Hoge Veluwe National Park ; 14.1 Years ;;;
