;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N380HA ;Airbus A330-243; C18Y260 ; 27 Apr 2010 ;lsd ; 380 ; Makali‘i ; 11.9 Years ;;
; N381HA ;Airbus A330-243; C18Y260 ; 27 May 2010 ;lsd ; 381 ; Hokūle‘a ; 11.8 Years ;;
; N382HA ;Airbus A330-243; C18Y260 ; 10 Nov 2010 ;lsd ; 382 ; Iwakeli'i ; 11.3 Years ;;
; N383HA ;Airbus A330-243; C18Y260 ; 12 Apr 2011 ;; 383 ; Hanaiakamalama ; 10.9 Years ;;
; N384HA ;Airbus A330-243; C18Y260 ; 5 Oct 2011 ;; 384 ; Hōkūpa‘a ; 10.5 Years ;;
; N385HA ;Airbus A330-243; C18Y260 ; 9 Mar 2012 ;; 385 ; Manaiakalani ; 10 Years ;;
; N386HA ;Airbus A330-243; C18Y260 ; 26 Apr 2012 ; Parked ; 386 ; Heiheionakeiki ; 9.9 Years ;;
; N388HA ;Airbus A330-243; C18Y260 ; 11 May 2012 ;lsd ; 388 ; Nahiku ; 9.9 Years ;;
; N389HA ;Airbus A330-243; C18Y260 ; 15 Jun 2012 ;lsd ; 389 ; Keali'iokonaikalewa ; 9.7 Years ;;
; N390HA ;Airbus A330-243; C18Y260 ; 25 Feb 2013 ;lsd ; 390 ; Nāmāhoe ; 9.1 Years ;;
; N391HA ;Airbus A330-243; C18Y260 ; 9 Apr 2013 ;; 391 ; Hokulei ; 8.9 Years ;;
; N392HA ;Airbus A330-243; C18Y260 ; 11 Apr 2013 ; Parked, lsd ; 392 ; Hikianalia ; 8.9 Years ;;
; N393HA ;Airbus A330-243; C18Y260 ; 17 Jun 2013 ;; 393 ; Lehuakona ; 8.7 Years ;;
; N395HA ;Airbus A330-243; C18Y260 ; 18 Nov 2013 ;; 395 ; 'A'a ; 8.3 Years ;;
; N396HA ;Airbus A330-243; C18Y260 ; 29 Jan 2014 ;; 396 ; Keoe ; 8.1 Years ;;
; N399HA ;Airbus A330-243; C18Y260 ; 26 Feb 2014 ;; 399 ; Kūmau ; 8.1 Years ;;
; N475HA ;Boeing 717-22A; C8Y120 ; 28 Feb 2001 ;; 475 ; 'I'iwi ; 21.1 Years ;;
; N476HA ;Boeing 717-22A; C8Y120 ; 14 Mar 2001 ;; 476 ; 'Elepaio ; 21 Years ;;
; N477HA ;Boeing 717-22A; C8Y120 ; 30 Apr 2001 ; Parked HNL ; 477 ; 'Apapane ; 21 Years ;;
; N478HA ;Boeing 717-22A; C8Y120 ; 24 May 2001 ;; 478 ; 'Amakihi ; 20.8 Years ;;
; N479HA ;Boeing 717-22A; C8Y120 ; 21 Jun 2001 ;; 479 ; 'Akepa ; 20.8 Years ;;
; N480HA ;Boeing 717-22A; C8Y120 ; 28 Jun 2001 ;; 480 ; Pueo ; 20.8 Years ;;
; N483HA ;Boeing 717-22A; C8Y120 ; 17 Sep 2008 ;; 483 ; 'Anianiau ; 20.6 Years ;;
; N484HA ;Boeing 717-22A; C8Y120 ; 12 Sep 2001 ;; 484 ; Oma'o ; 20.5 Years ;;
