;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-BAG ;Boeing 777-3DZER; C42Y316 ; 20 Oct 2009 ;oneworld cs ;; 12.4 Years ;;;
; A7-BAH ;Boeing 777-3DZER; C42Y316 ; 25 Feb 2010 ; Parked ;; 12 Years ;;;
; A7-BAI ;Boeing 777-3DZER; C42Y316 ; 22 Oct 2008 ;;; 13.5 Years ;;;
; A7-BAJ ;Boeing 777-3DZER; C42Y316 ; 4 Mar 2010 ;;; 12 Years ;;;
; A7-BAK ;Boeing 777-3DZER; C42Y316 ; 8 Apr 2010 ;;; 11.9 Years ;;;
; A7-BAL ;Boeing 777-3DZER; C42Y316 ; 23 Sep 2010 ;;; 11.5 Years ;;;
; A7-BAM ;Boeing 777-3DZER; C42Y316 ; 17 Mar 2011 ;;; 11 Years ;;;
; A7-BAN ;Boeing 777-3DZER; C42Y316 ; 1 Apr 2011 ;;; 11 Years ;;;
; A7-BAO ;Boeing 777-3DZER; C42Y316 ; 22 Dec 2008 ;;; 13.2 Years ;;;
; A7-BAP ;Boeing 777-3DZER; C24Y388 ; 13 Sep 2011 ;;; 10.5 Years ;;;
; A7-BAQ ;Boeing 777-3DZER; C42Y316 ; 22 Dec 2010 ;;; 11.2 Years ;;;
; A7-BAS ;Boeing 777-3DZER; C24Y388 ; 12 Mar 2012 ;;; 10 Years ;;;
; A7-BAT ;Boeing 777-3DZER; C24Y388 ; 6 Nov 2013 ;;; 8.4 Years ;;;
; A7-BAU ;Boeing 777-3DZER; C24Y388 ; 17 Dec 2013 ;;; 8.2 Years ;;;
; A7-BAV ;Boeing 777-3DZER; C24Y388 ; 6 Mar 2014 ;;; 8.1 Years ;;;
; A7-BAW ;Boeing 777-3DZER; C24Y388 ; 29 Jan 2013 ;;; 9.2 Years ;;;
; A7-BAX ;Boeing 777-3DZER; C24Y388 ; 20 Aug 2012 ;FIFA World Cup Qatar 2022 cs ;; 9.6 Years ;;;
; A7-BAY ;Boeing 777-3DZER; C24Y388 ; 1 Mar 2013 ;lsd ;; 9 Years ;;;
; A7-BAZ ;Boeing 777-3DZER; C24Y388 ; 18 Apr 2013 ;lsd ; السويحلية ; 8.9 Years ;;;
; A7-BEA ;Boeing 777-3DZER; C24Y388 ; 1 May 2013 ;lsd ;; 8.9 Years ;;;
; A7-BEB ;Boeing 777-3DZER; C24Y388 ; 22 Jul 2014 ;FIFA World Cup Qatar 2022 cs ;; 7.7 Years ;;;
; A7-BEC ;Boeing 777-3DZER; C24Y388 ; 13 Aug 2014 ;FIFA World Cup Qatar 2022 cs ;; 7.6 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-BED ;Boeing 777-3DZER; C42Y312 ; 27 Oct 2014 ;;; 7.4 Years ;;;
; A7-BEE ;Boeing 777-3DZER; C42Y316 ; 30 Jul 2015 ;lsd, "25 Years Of Excellence" sticker ;; 6.7 Years ;;;
