;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; TC-CPK ;Boeing 737-82R(WL); Y189 ; 20 Dec 2013 ;; Aslı ; 8.2 Years ;;;
; TC-CPL ;Boeing 737-82R(WL); Y189 ; 3 Mar 2014 ;lsd ; Aslıhan ; 8 Years ;;;
; TC-CPM ;Boeing 737-82R(WL); Y189 ; 18 Jan 2015 ;lsd ; Jasmin Y. ; 7.2 Years ;;;
; TC-CPN ;Boeing 737-82R(WL); Y189 ; 27 Feb 2015 ;lsd, Ada E. cs ; Ada E. ; 7 Years ;;;
; TC-CPV ;Boeing 737-86J(WL); Y189 ; 30 Mar 2015 ;lsd ; Hira ; 10.6 Years ;;;
; TC-CPY ;Boeing 737-8H6(WL); Y189 ; 16 Oct 2015 ;lsd ; Melek ; 6.4 Years ;;;
; TC-CPZ ;Boeing 737-8H6(WL); Y189 ; 21 Dec 2015 ;lsd ; Almila Ece ; 6.2 Years ;;;
; TC-CRA ;Boeing 737-8H6(WL); Y189 ; 22 Jan 2016 ;lsd ; Asel Liya ; 6.1 Years ;;;
; TC-CRB ;Boeing 737-8AL(WL); Y189 ; 11 Jul 2016 ; Parked, lsd ; İlay ; 5.7 Years ;;;
; TC-CRE ;Boeing 737-82R(WL); Y189 ; 23 Jul 2018 ;; Yasemin ; 3.7 Years ;;;
; TC-CRF ;Boeing 737-82R(WL); Y189 ; 27 Jul 2018 ;; Mine ; 3.6 Years ;;;
; TC-CRG ;Boeing 737-82R(WL); Y189 ; 1 Aug 2018 ;; Efsun Lia ; 3.6 Years ;;;
; TC-IZI ;Boeing 737-8GJ(WL); Y189 ; 8 Jul 2014 ;lsd ; Ayşe ; 14.6 Years ;;;
