;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VH-XZC ;Boeing 737-838(WL); C12Y162 ; 3 Oct 2012 ;; Walwa ; 9.4 Years ;;;
; VH-XZD ;Boeing 737-838(WL); C12Y162 ; 3 Apr 2013 ;; Moranbah ; 8.9 Years ;;;
; VH-XZE ;Boeing 737-838(WL); C12Y162 ; 19 Apr 2013 ;; Pine Creek ; 8.9 Years ;;;
; VH-XZF ;Boeing 737-838(WL); C12Y162 ; 10 May 2013 ;; Cygnet ; 8.8 Years ;;;
; VH-XZG ;Boeing 737-838(WL); C12Y162 ; 3 Jun 2013 ;; Bungendore ; 8.8 Years ;;;
; VH-XZH ;Boeing 737-838(WL); C12Y162 ; 8 Jul 2013 ;; Mclaren Vale ; 8.7 Years ;;;
; VH-XZI ;Boeing 737-838(WL); C12Y162 ; 3 Oct 2013 ;; Kalbarri ; 8.4 Years ;;;
; VH-XZJ ;Boeing 737-838(WL); C12Y162 ; 7 Nov 2013 ;Mendoowoorrji cs ; Mendoowoorrji ; 8.4 Years ;;;
; VH-XZK ;Boeing 737-838(WL); C12Y162 ; 5 Dec 2013 ;; Cook ; 8.3 Years ;;;
; VH-XZL ;Boeing 737-838(WL); C12Y162 ; 28 Jul 2014 ;; Flinders ; 7.6 Years ;;;
; VH-XZM ;Boeing 737-838(WL); C12Y162 ; 4 Aug 2014 ;; Coonawarra ; 7.6 Years ;;;
; VH-XZN ;Boeing 737-838(WL); C12Y162 ; 2 Sep 2014 ;; Wagga Wagga ; 7.5 Years ;;;
; VH-XZO ;Boeing 737-838(WL); C12Y162 ; 6 Oct 2014 ;; Leichhardt ; 7.4 Years ;;;
; VH-XZP ;Boeing 737-838(WL); C12Y162 ; 15 Nov 2014 ;Retro cs ; James Strong ; 7.3 Years ;;;
; VH-ZNA ;Boeing 787-9 Dreamliner; C42W28Y166 ; 11 Oct 2017 ;; Great Southern Land ; 4.4 Years ;;;
; VH-ZNB ;Boeing 787-9 Dreamliner; C42W28Y166 ; 8 Dec 2017 ;; Waltzing Matilda ; 4.2 Years ;;;
; VH-ZNC ;Boeing 787-9 Dreamliner; C42W28Y166 ; 22 Jan 2018 ;; Quokka ; 4.1 Years ;;;
; VH-ZND ;Boeing 787-9 Dreamliner; C42W28Y166 ; 26 Feb 2018 ;Yam Dreaming cs ; Emily Kame Kngwarreye ; 4 Years ;;;
; VH-ZNE ;Boeing 787-9 Dreamliner; C42W28Y166 ; 29 Jun 2018 ;; Skippy ; 3.7 Years ;;;
; VH-ZNF ;Boeing 787-9 Dreamliner; C42W28Y166 ; 17 Aug 2018 ;; Boomerang ; 3.6 Years ;;;
; VH-ZNG ;Boeing 787-9 Dreamliner; C42W28Y166 ; 13 Nov 2018 ;; Jillaroo ; 3.3 Years ;;;
; VH-ZNH ;Boeing 787-9 Dreamliner; C42W28Y166 ; 20 Nov 2018 ;; Great Barrier Reef ; 3.3 Years ;;;
; VH-ZNI ;Boeing 787-9 Dreamliner; C42W28Y166 ; 15 Oct 2019 ;; Kookaburra ; 2.4 Years ;;;
; VH-ZNJ ;Boeing 787-9 Dreamliner; C42W28Y166 ; 7 Nov 2019 ;100th Anniversary cs ; Longreach ; 2.3 Years ;;;
; VH-ZNK ;Boeing 787-9 Dreamliner; C42W28Y166 ; 12 Dec 2019 ;; Gangurru ; 2.2 Years ;;;
; VH-ZNL ;Boeing 787-9 Dreamliner; C42W28Y166 ; On Order ;;; 1.4 Years ;;;
; VH-ZNM ;Boeing 787-9 Dreamliner; C42W28Y166 ; On Order ;; Mateship ; 1.4 Years ;;;
; VH-ZNN ;Boeing 787-9 Dreamliner; C42W28Y166 ; On Order ;;; 1.3 Years ;;;
