;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; ET-AOP ;Boeing 787-8 Dreamliner; C24Y246 ; 20 Nov 2012 ;; Queen of Sheba ; 9.4 Years ;;;
; ET-AOQ ;Boeing 787-8 Dreamliner; C24Y246 ; 14 Aug 2012 ;; Africa First ; 9.6 Years ;;;
; ET-AOR ;Boeing 787-8 Dreamliner; C24Y246 ; 3 Oct 2012 ;; Addis Ababa ; 9.5 Years ;;;
; ET-AOS ;Boeing 787-8 Dreamliner; C24Y246 ; 22 Oct 2012 ;; Lucy ; 9.5 Years ;;;
; ET-AOT ;Boeing 787-8 Dreamliner; C24Y246 ; 5 May 2014 ;; Walia Ibex ; 7.9 Years ;;;
; ET-AOU ;Boeing 787-8 Dreamliner; C24Y246 ; 20 May 2014 ;;; 7.9 Years ;;;
; ET-AOV ;Boeing 787-8 Dreamliner; C24Y246 ; 26 Jun 2014 ;; Taj Mahal ; 7.8 Years ;;;
; ET-ARE ;Boeing 787-8 Dreamliner; C24Y246 ; 1 Aug 2014 ;;; 7.7 Years ;;;
; ET-ARF ;Boeing 787-8 Dreamliner; C24Y246 ; 1 Oct 2014 ;;; 7.5 Years ;;;
; ET-ASG ;Boeing 787-8 Dreamliner; C24Y246 ; 30 Jan 2015 ;lsd ;; 7.1 Years ;;;
; ET-ASH ;Boeing 787-8 Dreamliner; C24Y246 ; 31 Mar 2015 ;lsd ; Mountain Nyala ; 7 Years ;;;
; ET-ASI ;Boeing 787-8 Dreamliner; C24Y246 ; 22 May 2015 ;lsd ; Abebe Bikila ; 6.8 Years ;;;
; ET-ATG ;Boeing 787-8 Dreamliner; C24Y246 ; 29 Jun 2017 ;lsd, Star Alliance cs ; Yeha ; 4.8 Years ;;;
; ET-ATH ;Boeing 787-8 Dreamliner; C24Y246 ; 30 Mar 2017 ;lsd ; Rio de Janeiro ; 5.2 Years ;;;
; ET-ATI ;Boeing 787-8 Dreamliner; C24Y246 ; 25 May 2017 ;lsd ; Mother Teresa ; 5.1 Years ;;;
; ET-ATJ ;Boeing 787-8 Dreamliner; C24Y246 ; 16 Sep 2016 ;lsd ; Dallol ; 5.6 Years ;;;
; ET-ATK ;Boeing 787-8 Dreamliner; C24Y246 ; 29 Jul 2016 ;lsd ; Meles ; 5.7 Years ;;;
; ET-ATL ;Boeing 787-8 Dreamliner; C24Y246 ; 29 Jun 2016 ; Parked, lsd ; Colonel Robinson ; 5.8 Years ;;;
; ET-AUO ;Boeing 787-9 Dreamliner; C30Y285 ; 26 Oct 2017 ;lsd ; Beijing ; 4.4 Years ;;;
; ET-AUP ;Boeing 787-9 Dreamliner; C30Y285 ; 20 Nov 2017 ;lsd ; London ; 4.3 Years ;;;
; ET-AUQ ;Boeing 787-9 Dreamliner; C30Y285 ; 5 Jun 2018 ;lsd, "100th Aircraft" sticker ; Frankfurt ; 3.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; ET-AUR ;Boeing 787-9 Dreamliner; C30Y285 ; 10 Aug 2018 ;lsd ; Tokyo ; 3.6 Years ;;;
; ET-AXK ;Boeing 787-9 Dreamliner; C30Y285 ; 15 Nov 2019 ;lsd ; Tel Aviv ; 2.3 Years ;;;
; ET-AXL ;Boeing 787-9 Dreamliner; C30Y285 ; 12 Dec 2019 ;lsd ; Toronto ; 2.2 Years ;;;
; ET-AXS ;Boeing 787-9 Dreamliner; C30Y285 ; 26 Mar 2020 ;lsd ; Al Nejashi ; 1.9 Years ;;;
; ET-AYC ;Boeing 787-9 Dreamliner; C30Y285 ; 1 Oct 2020 ;lsd ; Bangkok ; 1.8 Years ;;;
; ET-ANI ;Bombardier DHC-8-402Q Dash 8; Y78 ; 18 Mar 2010 ; Parked ;; 12.1 Years ;;;
; ET-ANJ ;Bombardier DHC-8-402Q Dash 8; Y78 ; 13 Apr 2010 ; Parked ;; 12 Years ;;;
; ET-ANK ;Bombardier DHC-8-402Q Dash 8; Y78 ; 26 Apr 2010 ; Parked ;; 12 Years ;;;
; ET-ANL ;Bombardier DHC-8-402Q Dash 8; Y78 ; 6 May 2010 ; Parked ;; 12 Years ;;;
; ET-ANV ;Bombardier DHC-8-402Q Dash 8; Y78 ; 14 Jul 2010 ; Parked ;; 11.9 Years ;;;
; ET-ANW ;Bombardier DHC-8-402Q Dash 8;; 2014 ;lst Zambia Airways ;; 11.7 Years ;;;
; ET-ANX ;Bombardier DHC-8-402Q Dash 8; C7Y60 ; 2012 ; Parked ;; 11.6 Years ;;;
; ET-AQB ;Bombardier DHC-8-402Q Dash 8; C7Y60 ; 26 Sep 2012 ;lst Malawian Airlines ;; 9.5 Years ;;;
; ET-AQC ;Bombardier DHC-8-402Q Dash 8; C7Y60 ; 2019 ; Parked ;; 9.5 Years ;;;
; ET-AQD ;Bombardier DHC-8-402Q Dash 8; C7Y60 ; 29 Nov 2012 ;lst Asky Airlines ;; 9.4 Years ;;;
; ET-AQE ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; Jun 2018 ;lst Tchadia Airlines ;; 9.4 Years ;;;
; ET-AQF ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; Jun 2018 ;opf Tchadia Airlines ;; 9.3 Years ;;;
; ET-ARL ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 29 May 2014 ;lsd ;; 7.9 Years ;;;
; ET-ARM ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 30 Jun 2014 ;lsd ;; 7.8 Years ;;;
; ET-ARN ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 5 Aug 2014 ; Parked, lsd ;; 7.7 Years ;;;
; ET-ASA ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 29 Aug 2014 ; Parked, lsd ;; 7.5 Years ;;;
; ET-AUD ;Bombardier DHC-8-402Q Dash 8;; 18 Nov 2016 ;lsd ;; 5.3 Years ;;;
; ET-AUE ;Bombardier DHC-8-402Q Dash 8;; 12 Dec 2016 ;lsd ;; 5.2 Years ;;;
; ET-AUZ ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 20 Dec 2017 ;lsd ;; 4.2 Years ;;;
; ET-AVA ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 28 Dec 2017 ;lsd ;; 4.2 Years ;;;
; ET-AVH ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 4 Apr 2018 ;lsd ;; 4 Years ;;;
; ET-AVR ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 15 Jun 2018 ;;; 3.8 Years ;;;
; ET-AVS ;Bombardier DHC-8-402Q Dash 8; C7Y64 ; 29 Dec 2018 ;lsd ;; 3.2 Years ;;;
; ET-AXE ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 31 Jul 2019 ;;; 2.6 Years ;;;
; ET-AXF ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 25 Aug 2019 ; Parked ;; 2.5 Years ;;;
; ET-AXP ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 15 Nov 2019 ;;; 2.3 Years ;;;
; ET-AXW ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 23 Feb 2020 ;;; 2 Years ;;;
; ET-AXX ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 23 Oct 2020 ;;; 2 Years ;;;
; ET-AXY ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 23 Oct 2020 ;;; 1.8 Years ;;;
; ET-AXZ ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 5 Feb 2021 ;;; 1.7 Years ;;;
; ET-AYF ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; 11 Sep 2021 ;;; 1.4 Years ;;;
; ET- ;De Havilland Canada DHC-8-402 Dash 8; C7Y64 ; On Order ;;; 0.2 Years ;;;
