;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N907FX ;ATR 42-320(F); Cargo ; 30 May 2003 ;opby Mountain Air Cargo ; 907 ;; 29.3 Years ;;;
; N909FX ;ATR 42-300(F); Cargo ; 10 Nov 2003 ;opby Mountain Air Cargo ; 909 ;; 30.4 Years ;;;
; N910FX ;ATR 42-300(F); Cargo ; 14 Apr 2004 ;opby Mountain Air Cargo ; 910 ;; 30.3 Years ;;;
; N911FX ;ATR 42-300(F); Cargo ; 4 Oct 2004 ;opby Empire Airlines ; 911 ;; 34.9 Years ;;;
; N913FX ;ATR 42-300(F); Cargo ; 24 Mar 2005 ;opby Empire Airlines ; 913 ;; 30.5 Years ;;;
; N914FX ;ATR 42-300(F); Cargo ; 10 Feb 2005 ;opby Empire Airlines ; 914 ;; 30 Years ;;;
; N915FX ;ATR 42-300(F); Cargo ; 7 Sep 2004 ;opby Mountain Air Cargo ; 915 ;; 30.4 Years ;;;
; N916FX ;ATR 42-300(F); Cargo ; 22 Nov 2021 ;opby Mountain Air Cargo ; 916 ;; 30.1 Years ;;;
; N917FX ;ATR 42-300(F); Cargo ; 10 Feb 2005 ;opby Empire Airlines ; 917 ;; 29 Years ;;;
; N918FX ;ATR 42-300(F); Cargo ; 7 Sep 2004 ;opby Mountain Air Cargo ; 918 ;; 30.5 Years ;;;
; N919FX ;ATR 42-300(F); Cargo ; 4 Oct 2004 ;opby Empire Airlines ; 919 ;; 30.4 Years ;;;
; N920FX ;ATR 42-300(F); Cargo ; 27 Aug 2004 ;opby Mountain Air Cargo ; 920 ;; 29.4 Years ;;;
; N921FX ;ATR 42-300(F); Cargo ; 29 Oct 2004 ;opby Empire Airlines ; 921 ;; 29.5 Years ;;;
; C-FTAR ;ATR 72-202(F); Cargo ; 3 Jan 2013 ;opby Morningstar Air Express ;;; 31.1 Years ;;;
; C-FTMN ;ATR 72-202(F); Cargo ; 20 Nov 2020 ;opby Morningstar Air Express ;;; 30.8 Years ;;;
; C-FTMY ;ATR 72-202(F); Cargo ; 27 Nov 2020 ;opby Morningstar Air Express ;;; 30 Years ;;;
; C-FVDO ;ATR 72-202(F); Cargo ; 23 Oct 2020 ;opby Morningstar Air Express ;;; 31 Years ;;;
; EI-GUL ;ATR 72-600F (72-212A); Cargo ; 17 Dec 2020 ;opby ASL Airlines Ireland ;;; 1.5 Years ;;;
; EI-GUM ;ATR 72-600F (72-212A); Cargo ; 6 Jan 2022 ;opby ASL Airlines Ireland ;;; 0.2 Years ;;;
; EI-GUO ;ATR 72-600F (72-212A); Cargo ; On Order ;opby ASL Airlines Ireland ;;;;;;
; EI-GUP ;ATR 72-600F (72-212A); Cargo ; 6 Jan 2022 ;opby ASL Airlines Ireland ;;; 0.3 Years ;;;
; N701FE ;ATR 72-600F (72-212A); Cargo ; 1 Jun 2021 ;opby Empire Airlines ; 701 ;; 1 Years ;;;
; N702FE ;ATR 72-600F (72-212A); Cargo ; 6 Aug 2021 ;opby IFL Group ; 702 ;; 0.7 Years ;;;
; N703FE ;ATR 72-600F (72-212A); Cargo ; 1 Oct 2021 ;opby IFL Group ; 703 ;; 0.6 Years ;;;
; N800FX ;ATR 72-212(F); Cargo ; 21 Jul 2010 ;opby Mountain Air Cargo ; 800 ;; 29.3 Years ;;;
; N801FX ;ATR 72-212(F); Cargo ; 18 Aug 2010 ;opby Empire Airlines ; 801 ;; 29.3 Years ;;;
; N802FX ;ATR 72-212(F); Cargo ; 9 Aug 2010 ;opby Mountain Air Cargo ; 802 ;; 29.2 Years ;;;
; N803FX ;ATR 72-212(F); Cargo ; 18 Aug 2010 ;opby Empire Airlines ; 803 ;; 28.9 Years ;;;
; N804FX ;ATR 72-212(F); Cargo ; 13 Aug 2010 ;opby Mountain Air Cargo ; 804 ;; 28.7 Years ;;;
; N805FX ;ATR 72-212(F); Cargo ; 23 Aug 2010 ;opby Empire Airlines ; 805 ;; 28.6 Years ;;;
; N806FX ;ATR 72-212(F); Cargo ; 2 Sep 2010 ;opby Mountain Air Cargo ; 806 ;; 28.5 Years ;;;
; N807FX ;ATR 72-212(F); Cargo ; 19 Jul 2010 ;opby Empire Airlines ; 807 ;; 28.5 Years ;;;
; N810FX ;ATR 72-202(F); Cargo ; 13 May 2004 ;opby Mountain Air Cargo ; 810 ;; 30.9 Years ;;;
; N811FX ;ATR 72-202(F); Cargo ; 25 Aug 2005 ;opby Mountain Air Cargo ; 811 ;; 30.1 Years ;;;
; N812FX ;ATR 72-212(F); Cargo ; 14 Jun 2005 ;opby Mountain Air Cargo ; 812 ;; 28.1 Years ;;;
; N816FX ;ATR 72-212(F); Cargo ; 4 Oct 2005 ;opby Empire Airlines ; 816 ;; 29.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N819FX ;ATR 72-212(F); Cargo ; Oct 2006 ;opby Empire Airlines ; 819 ;; 28.9 Years ;;;
; N820FX ;ATR 72-212(F); Cargo ; 25 Apr 2007 ;opby Mountain Air Cargo ; 820 ;; 30.5 Years ;;;
; N821FX ;ATR 72-212(F); Cargo ; 23 Feb 2007 ;opby Empire Airlines ; 821 ;; 30.5 Years ;;;
; OE-IAE ;Boeing 737-4Q8(SF); Cargo ; 8 Sep 2018 ;opby ASL Airlines Belgium ;;; 28.6 Years ;;;
; OE-IAP ;Boeing 737-4M0(BDSF); Cargo ; 4 Aug 2017 ;opby ASL Airlines Belgium ;;; 23.6 Years ;;;
; OE-IAQ ;Boeing 737-4M0(BDSF); Cargo ; 5 Sep 2017 ;opby ASL Airlines Belgium ;;; 23.4 Years ;;;
; OE-IAR ;Boeing 737-4M0(BDSF); Cargo ; 20 Sep 2018 ;opby ASL Airlines Belgium ;;; 23.4 Years ;;;
; OE-IAT ;Boeing 737-4M0(BDSF); Cargo ; 26 Aug 2017 ;opby ASL Airlines Belgium ;;; 23.1 Years ;;;
; OE-IBW ;Boeing 737-4Q8(SF); Cargo ; 18 Aug 2017 ;opby ASL Airlines Belgium ;;; 28.2 Years ;;;
; OO-TNN ;Boeing 737-45D(BDSF); Cargo ; 11 Aug 2017 ;opby ASL Airlines Belgium ;;; 28.9 Years ;;;
; OO-TNP ;Boeing 737-45D(BDSF); Cargo ; 28 Jul 2017 ;opby ASL Airlines Belgium ;;; 28 Years ;;;
; F-HIQD ;Boeing 737-8AS(BCF)(WL); Cargo ; 29 May 2021 ;opby ASL Airlines France ;;; 15.3 Years ;;;
; OE-IWD ;Boeing 737-8AS(BCF)(WL); Cargo ; 24 Aug 2021 ;opby ASL Airlines Belgium ;;; 14.9 Years ;;;
; OE-IWE ;Boeing 737-8AS(BCF)(WL); Cargo ; 11 Nov 2021 ;opby ASL Airlines Belgium ;;; 14.8 Years ;;;
; OE-IWF ;Boeing 737-8AS(BCF)(WL); Cargo ; 27 Oct 2021 ;opby ASL Airlines Belgium ;;; 14.8 Years ;;;
; OE-IXA ;Boeing 737-8AS(BCF)(WL); Cargo ; 4 Jun 2021 ;opby ASL Airlines Belgium ;;; 15.3 Years ;;;
; SE-RLM ;Boeing 737-83N(BCF)(WL); Cargo ; 12 Oct 2020 ;opby West Air Sweden ;;; 19.5 Years ;;;
; N770FD ;Boeing 757-222(SF); Cargo ; 28 Mar 2014 ;; 770 ; Penelope ; 32 Years ;;;
; N771FD ;Boeing 757-222(SF); Cargo ; 27 Feb 2014 ;; 771 ; Willard ; 31.7 Years ;;;
; N772FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 772 ; Emerson ; 31.6 Years ;;;
; N773FD ;Boeing 757-222(SF); Cargo ; 7 Jan 2014 ;; 773 ; Cannon ; 31.5 Years ;;;
; N774FD ;Boeing 757-222(SF); Cargo ; 14 Jan 2015 ;; 774 ; Jack ; 28.7 Years ;;;
; N775FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 775 ; Amanda ; 31 Years ;;;
; N776FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ; Parked VCV ; 776 ; Keirsten ; 30.8 Years ;;;
; N777FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ; Parked VCV ; 777 ; Halston ; 30.6 Years ;;;
; N778FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 778 ; Lili ; 30.6 Years ;;;
; N779FD ;Boeing 757-222(SF); Cargo ; 19 May 2014 ; Parked VCV ; 779 ; Abraham ; 30.5 Years ;;;
; N780FD ;Boeing 757-222(SF); Cargo ; 12 Nov 2013 ;; 780 ; Harvey ; 30.5 Years ;;;
; N781FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 781 ; Kira ; 29.4 Years ;;;
; N782FD ;Boeing 757-222(SF); Cargo ; 11 Mar 2015 ;; 782 ; Brooklyn ; 29.3 Years ;;;
; N783FD ;Boeing 757-222(SF); Cargo ; 6 Feb 2014 ;; 783 ; Haiden ; 29.3 Years ;;;
; N784FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 784 ; Neave ; 29.3 Years ;;;
; N785FD ;Boeing 757-222(SF); Cargo ; 18 Dec 2013 ;; 785 ; Rj ; 29.2 Years ;;;
; N786FD ;Boeing 757-222(SF); Cargo ; 26 Mar 2014 ;; 786 ; Kai ; 31.1 Years ;;;
; N787FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 787 ; Gage ; 29.2 Years ;;;
; N788FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 788 ; Isaac ; 29.2 Years ;;;
; N789FD ;Boeing 757-222(SF); Cargo ; 11 Mar 2015 ;; 789 ; Evie ; 29.1 Years ;;;
; N790FD ;Boeing 757-222(SF); Cargo ; 6 Jul 2015 ;; 790 ; Mattia ; 29 Years ;;;
; N791FD ;Boeing 757-222(SF); Cargo ; 16 Oct 2014 ;; 791 ; Carlie ; 29 Years ;;;
; N792FD ;Boeing 757-222(SF); Cargo ; 11 Mar 2015 ;; 792 ; Naomi ; 28.9 Years ;;;
; N793FD ;Boeing 757-222(SF); Cargo ; 11 Mar 2015 ;; 793 ; Cade ; 28.9 Years ;;;
; N794FD ;Boeing 757-222(SF); Cargo ; 18 Sep 2013 ;; 794 ; Rubyrose ; 28.9 Years ;;;
; N795FD ;Boeing 757-222(SF); Cargo ; 23 Jan 2014 ;; 795 ; Shane ; 28.7 Years ;;;
; N796FD ;Boeing 757-222(SF); Cargo ; 4 Mar 2014 ;; 796 ; Miranda ; 28.6 Years ;;;
; N797FD ;Boeing 757-222(SF); Cargo ; 15 Apr 2014 ;; 797 ; Jackie ; 25.7 Years ;;;
; N798FD ;Boeing 757-222(SF); Cargo ; 7 Nov 2013 ;; 798 ; Ava Grace ; 25.6 Years ;;;
; N799FD ;Boeing 757-222(SF); Cargo ; 11 Mar 2015 ;; 799 ; Harrison ; 25.5 Years ;;;
; N901FD ;Boeing 757-2B7(SF); Cargo ; 9 May 2007 ;; 901 ; Tucker ; 29.1 Years ;;;
; N902FD ;Boeing 757-2B7(SF); Cargo ; 15 Dec 2009 ;lst Morningstar Air Express as C-FMEK ; 902 ; Hannah ; 29 Years ;;;
; N903FD ;Boeing 757-2B7(SF); Cargo ; 19 Sep 2007 ;; 903 ; Makayla ; 28.9 Years ;;;
; N904FD ;Boeing 757-2B7(SF); Cargo ; 16 Oct 2009 ;lst Morningstar Air Express as C-FMEP ; 904 ; Rachel ; 28.9 Years ;;;
; N905FD ;Boeing 757-2B7(SF); Cargo ; 3 Apr 2009 ;lst Morningstar Air Express as C-FMEQ ; 905 ; Cassandra ; 28.9 Years ;;;
; N906FD ;Boeing 757-2B7(SF); Cargo ; 19 Sep 2007 ;lst Morningstar Air Express as C-FMOC ; 906 ; Laura ; 28.7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N907FD ;Boeing 757-2B7(SF); Cargo ; 11 Aug 2009 ;lst Morningstar Air Express as C-FMFG ; 907 ; Megan ; 28.3 Years ;;;
; N908FD ;Boeing 757-2B7(SF); Cargo ; 12 May 2009 ;lst Morningstar Air Express as C-FMAI ; 908 ; Giovanna ; 28.3 Years ;;;
; N909FD ;Boeing 757-2B7(SF); Cargo ; 16 Oct 2009 ;lst Morningstar Air Express as C-FMEU ; 909 ; Morgan ; 28.3 Years ;;;
; N910FD ;Boeing 757-236(SF); Cargo ; 1 May 2008 ;; 910 ; Jiatian ; 30.9 Years ;;;
; N912FD ;Boeing 757-28A(SF); Cargo ; 10 Jul 2008 ;; 912 ; Demir ; 33.2 Years ;;;
; N913FD ;Boeing 757-28A(SF); Cargo ; 3 Nov 2008 ;; 913 ; Brayden ; 34.1 Years ;;;
; N914FD ;Boeing 757-28A(SF); Cargo ; 24 Feb 2009 ;; 914 ; Bella ; 33.2 Years ;;;
; N915FD ;Boeing 757-236(SF); Cargo ; 27 Feb 2007 ;; 915 ; Declan ; 33.9 Years ;;;
; N916FD ;Boeing 757-27B(SF); Cargo ; 29 Oct 2007 ;; 916 ; Mallory ; 33.8 Years ;;;
; N917FD ;Boeing 757-23A(SF); Cargo ; 20 Aug 2008 ;; 917 ; Kirby ; 33 Years ;;;
; N918FD ;Boeing 757-23A(SF); Cargo ; 18 Aug 2008 ;; 918 ; Dexter ; 33 Years ;;;
; N919FD ;Boeing 757-23A(SF); Cargo ; 15 Jan 2008 ;; 919 ; Evan ; 32.1 Years ;;;
; N920FD ;Boeing 757-23A(SF); Cargo ; 13 Dec 2007 ;; 920 ; Sophia ; 33.1 Years ;;;
; N921FD ;Boeing 757-23A(SF); Cargo ; 9 Sep 2009 ;; 921 ; Maggie ; 31.2 Years ;;;
; N922FD ;Boeing 757-23A(SF); Cargo ; 27 Apr 2009 ;; 922 ; Remy ; 33 Years ;;;
; N923FD ;Boeing 757-204(SF); Cargo ; 8 May 2008 ;; 923 ; Raquel ; 29.2 Years ;;;
; N924FD ;Boeing 757-204(SF); Cargo ; 7 Aug 2009 ;; 924 ; Carah ; 28.9 Years ;;;
; N925FD ;Boeing 757-204(SF); Cargo ; 15 Jun 2009 ;; 925 ; Micah ; 28 Years ;;;
; N926FD ;Boeing 757-2S7(SF); Cargo ; 27 Sep 2010 ;; 926 ; Clare ; 36.2 Years ;;;
; N927FD ;Boeing 757-204(SF); Cargo ; 18 May 2012 ;; 927 ; Elisa ; 27.8 Years ;;;
; N928FD ;Boeing 757-28A(SF); Cargo ; 16 Jun 2010 ;; 928 ; Annsley ; 32.8 Years ;;;
; N930FD ;Boeing 757-2Y0(SF); Cargo ; 9 Sep 2009 ;; 930 ; Piet ; 30.6 Years ;;;
; N933FD ;Boeing 757-21B(SF); Cargo ; 18 Jul 2008 ;; 933 ; Fabian ; 33.3 Years ;;;
; N934FD ;Boeing 757-21B(SF); Cargo ; 12 Sep 2008 ;; 934 ; Shae ; 33.3 Years ;;;
; N935FD ;Boeing 757-2T7(SF); Cargo ; 24 Feb 2009 ;; 935 ; Desiree ; 39 Years ;;;
; N936FD ;Boeing 757-2T7(SF); Cargo ; 28 Nov 2008 ;; 936 ; Piper ; 37 Years ;;;
; N937FD ;Boeing 757-2T7(SF); Cargo ; 12 Apr 2010 ;; 937 ; Aley ; 34.8 Years ;;;
; N938FD ;Boeing 757-23A(SF); Cargo ; 22 Dec 2011 ;; 938 ; Isabella ; 33 Years ;;;
; N939FD ;Boeing 757-23A(SF); Cargo ; 6 Dec 2010 ;; 939 ; Camila ; 32.4 Years ;;;
; N940FD ;Boeing 757-236(SF); Cargo ; 21 Sep 2010 ;; 940 ; Layla ; 32 Years ;;;
; N941FD ;Boeing 757-225(SF); Cargo ; 30 Jun 2009 ;; 941 ; Erika ; 34.3 Years ;;;
; N942FD ;Boeing 757-225(SF); Cargo ; 24 Sep 2009 ;; 942 ; Kylie ; 35.3 Years ;;;
; N943FD ;Boeing 757-2G5(SF); Cargo ; 10 Sep 2010 ;; 943 ; Rebeka ; 34.3 Years ;;;
; N944FD ;Boeing 757-2G5(SF); Cargo ; 21 Dec 2010 ;; 944 ; Reagan ; 32.8 Years ;;;
; N946FD ;Boeing 757-236(SF); Cargo ; 4 Jun 2010 ;; 946 ; Sadie ; 32.9 Years ;;;
; N947FD ;Boeing 757-236(SF); Cargo ; 1 Jul 2010 ;; 947 ; Giovanna ; 31.4 Years ;;;
; N948FD ;Boeing 757-236(SF); Cargo ; 17 Aug 2010 ;; 948 ; Anissa ; 30.9 Years ;;;
; N949FD ;Boeing 757-236(SF); Cargo ; 21 Oct 2010 ;; 949 ; Ashlynn ; 30.9 Years ;;;
; N950FD ;Boeing 757-236(SF); Cargo ; 12 Jan 2011 ;; 950 ; Mia ; 28 Years ;;;
; N951FD ;Boeing 757-236(SF); Cargo ; 15 Apr 2011 ;; 951 ; Riley ; 25 Years ;;;
; N952FD ;Boeing 757-236(SF); Cargo ; 31 May 2011 ;; 952 ; Roxanna ; 24.9 Years ;;;
; N953FD ;Boeing 757-236(SF); Cargo ; 10 Aug 2011 ;; 953 ; Gia ; 24.7 Years ;;;
; N954FD ;Boeing 757-236(SF); Cargo ; 2 Dec 2011 ;; 954 ; Mika ; 24.2 Years ;;;
; N955FD ;Boeing 757-236(SF); Cargo ; 6 Jan 2012 ;; 955 ; Elke ; 24 Years ;;;
; N956FD ;Boeing 757-236(SF); Cargo ; 14 Feb 2012 ;; 956 ; Maia ; 23.9 Years ;;;
; N957FD ;Boeing 757-21B(SF); Cargo ; 5 Nov 2010 ; Parked VCV ; 957 ; Gabriella ; 31.8 Years ;;;
; N958FD ;Boeing 757-236(SF); Cargo ; 8 May 2012 ;; 958 ; Ryanne ; 32.9 Years ;;;
; N959FD ;Boeing 757-236(SF); Cargo ; 4 Jan 2011 ;; 959 ; Kylie ; 30.7 Years ;;;
; N960FD ;Boeing 757-236(SF); Cargo ; 25 Jan 2011 ;; 960 ; Brenna ; 29.7 Years ;;;
; N961FD ;Boeing 757-2Y0(SF); Cargo ; 28 Oct 2011 ;; 961 ; Byanca ; 30.4 Years ;;;
; N962FD ;Boeing 757-2G5(SF); Cargo ; 22 Sep 2011 ;; 962 ; Nina ; 33.9 Years ;;;
; N963FD ;Boeing 757-28A(SF); Cargo ; 16 Oct 2012 ;; 963 ; Makenzie ; 33 Years ;;;
; N964FD ;Boeing 757-258(SF); Cargo ; 1 Sep 2011 ;; 964 ; Brooke ; 31.3 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N965FD ;Boeing 757-258(SF); Cargo ; 7 Nov 2011 ;; 965 ; Ellie ; 25 Years ;;;
; N966FD ;Boeing 757-204(SF); Cargo ; 24 May 2012 ;; 966 ; Kiana ; 28.8 Years ;;;
; N967FD ;Boeing 757-28A(SF); Cargo ; 26 Jun 2012 ;; 967 ; Jessi ; 27.9 Years ;;;
; N968FD ;Boeing 757-28A(SF); Cargo ; 10 Apr 2013 ;; 968 ; Taytem ; 26.8 Years ;;;
