;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N85379 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 17 Jun 2021 ;lsf United Airlines, opf United Express ; 379 ; 0.8 Years ;;;
; N86309 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Oct 2014 ;opf United Express ; 309 ; 7.5 Years ;;;
; N86311 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 16 Oct 2014 ;opf United Express ; 311 ; 7.4 Years ;;;
; N86312 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 7 Nov 2014 ;opf United Express ; 312 ; 7.4 Years ;;;
; N86316 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 4 Dec 2014 ;opf United Express ; 316 ; 7.3 Years ;;;
; N86322 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Apr 2015 ;opf United Express ; 322 ; 7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N86324 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 16 Apr 2015 ; Parked, opf United Express ; 324 ; 6.9 Years ;;;
; N86334 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 28 Jan 2016 ;opf United Express ; 334 ; 6.1 Years ;;;
; N86336 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 24 Mar 2016 ;opf United Express ; 336 ; 6 Years ;;;
; N86344 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 7 Jul 2016 ;opf United Express ; 344 ; 5.7 Years ;;;
; N86347 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 21 Sep 2016 ;opf United Express ; 347 ; 5.5 Years ;;;
; N86350 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 May 2017 ;opf United Express ; 350 ; 4.8 Years ;;;
; N86371 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 10 Dec 2020 ;lsf United Airlines, opf United Express ; 371 ; 1.5 Years ;;;
; N86372 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 10 Dec 2020 ;lsf United Airlines, opf United Express ; 372 ; 1.4 Years ;;;
; N86375 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 10 Dec 2020 ; Parked, lsf United Airlines, opf United Express ; 375 ; 1.4 Years ;;;
; N87302 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 11 Apr 2014 ;opf United Express ; 302 ; 7.9 Years ;;;
; N87303 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 28 Apr 2014 ;opf United Express ; 303 ; 7.9 Years ;;;
; N87306 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Jul 2014 ;opf United Express ; 306 ; 7.7 Years ;;;
; N87318 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 16 Dec 2014 ;opf United Express ; 318 ; 7.3 Years ;;;
; N87319 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 18 Dec 2014 ;opf United Express ; 319 ; 7.2 Years ;;;
; N87337 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 24 Mar 2016 ;opf United Express ; 337 ; 5.9 Years ;;;
; N87339 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 13 May 2016 ; Parked, opf United Express ; 339 ; 5.8 Years ;;;
; N87345 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 18 Aug 2016 ;opf United Express ; 345 ; 5.6 Years ;;;
; N87353 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Jul 2017 ;opf United Express ; 353 ; 4.6 Years ;;;
; N87360 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 21 Dec 2017 ;lsf United Airlines, opf United Express ; 360 ; 4.2 Years ;;;
; N87364 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 2 Oct 2020 ;lsf United Airlines, opf United Express ; 364 ;;;;
; N87365 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 2 Oct 2020 ;lsf United Airlines, opf United Express ; 365 ; 1.6 Years ;;;
; N87367 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 15 Oct 2020 ;lsf United Airlines, opf United Express ; 367 ; 1.6 Years ;;;
; N87368 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 15 Oct 2020 ;lsf United Airlines, opf United Express ; 368 ; 1.5 Years ;;;
; N87380 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 17 Jun 2021 ;lsf United Airlines, opf United Express ; 380 ; 0.7 Years ;;;
; N88301 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 26 Mar 2014 ;opf United Express ; 301 ; 8.1 Years ;;;
; N88310 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 16 Oct 2014 ;opf United Express ; 310 ; 7.5 Years ;;;
; N88325 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 14 May 2015 ;opf United Express ; 325 ; 6.9 Years ;;;
; N88326 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 21 May 2015 ;opf United Express ; 326 ; 6.8 Years ;;;
; N88327 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 8 Jun 2015 ;opf United Express ; 327 ; 6.8 Years ;;;
; N88328 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 11 Jun 2015 ;opf United Express ; 328 ; 6.7 Years ;;;
; N88330 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 29 Jun 2015 ;opf United Express ; 330 ; 6.7 Years ;;;
; N88331 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 17 Dec 2015 ;opf United Express ; 331 ; 6.2 Years ;;;
; N88332 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 21 Dec 2015 ;opf United Express ; 332 ; 6.2 Years ;;;
; N88335 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 17 Feb 2016 ;opf United Express ; 335 ; 6.1 Years ;;;
; N88341 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Jun 2016 ; Parked, opf United Express ; 341 ; 5.8 Years ;;;
