;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; OE-LBB ;Airbus A321-111; CY200 ; 13 Feb 1996 ; Parked TLL ; Pinzgau ; 26.2 Years ;;;
; OE-LBC ;Airbus A321-111; CY200 ; 28 Feb 1996 ; Parked ; Südtirol ; 26 Years ;;;
; OE-LBD ;Airbus A321-211; CY200 ; 10 Dec 1998 ;; Steirisches Weinland ; 23.3 Years ;;;
; OE-LBE ;Airbus A321-211; CY200 ; 23 Dec 1998 ;; Wachau ; 23.2 Years ;;;
; OE-LBF ;Airbus A321-211; CY200 ; 30 Mar 2001 ; Parked ; Wien ; 21 Years ;;;
; OE-LAE ;Boeing 767-3Z9ER(WL); C26W18Y167 ; 27 Jan 2005 ; Parked ; Wiener Sängerknaben ; 21.4 Years ;;;
; OE-LAY ;Boeing 767-3Z9ER(WL); C26W18Y167 ; 4 Jul 2005 ;; Japan ; 23.2 Years ;;;
; OE-LAZ ;Boeing 767-3Z9ER(WL); C26W18Y167 ; 25 Apr 2005 ;; India ; 22.6 Years ;;;
; OE-LPA ;Boeing 777-2Z9ER; C38W24Y244 ; 13 Sep 2005 ;; Sound of Music ; 24.6 Years ;;;
; OE-LPB ;Boeing 777-2Z9ER; C38W24Y244 ; 27 Oct 2005 ;; Heart of Europe ; 23.4 Years ;;;
; OE-LPC ;Boeing 777-2Z9ER; C38W24Y244 ; 24 Sep 2005 ;; Dream of Freedom ; 20 Years ;;;
; OE-LPD ;Boeing 777-2Z9ER; C38W24Y244 ; 30 Jan 2007 ; Parked TPE, my Sound of Austria cs ; Spirit of Austria ; 15.1 Years ;;;
; OE-LPE ;Boeing 777-2Q8ER; C38W24Y244 ; 3 Mar 2014 ;lsd ; Blue Danube ; 23.8 Years ;;;
; OE-LPF ;Boeing 777-2Q8ER; C38W24Y244 ; 9 Jan 2018 ;lsd, 60 Years Flying cs ; Sibanye ; 20.3 Years ;;;
; OE-LWA ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 20 Jan 2016 ;;; 12.5 Years ;;;
; OE-LWB ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 8 Jul 2016 ;;; 12.4 Years ;;;
; OE-LWC ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 23 Jan 2017 ;;; 11.9 Years ;;;
; OE-LWD ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 18 Aug 2015 ; Parked ; Central Europe ; 11.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; OE-LWE ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 15 Mar 2017 ;;; 11 Years ;;;
; OE-LWF ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 11 May 2017 ;;; 10.7 Years ;;;
; OE-LWG ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 18 Feb 2016 ;;; 10.5 Years ;;;
; OE-LWH ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 31 Aug 2016 ;Star Alliance cs ;; 10.4 Years ;;;
; OE-LWI ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 13 Apr 2016 ;;; 10.3 Years ;;;
; OE-LWJ ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 3 Aug 2016 ;;; 10.1 Years ;;;
; OE-LWK ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 12 May 2016 ;;; 10 Years ;;;
; OE-LWL ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 13 Jun 2016 ;; City of Prague ; 9.9 Years ;;;
; OE-LWM ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 16 Mar 2016 ;;; 9.8 Years ;;;
; OE-LWN ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 5 Jul 2017 ;;; 9.7 Years ;;;
; OE-LWO ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 11 Apr 2017 ;; Wiener Johann Strauss Orchester ; 9.7 Years ;;;
; OE-LWP ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 8 Jun 2017 ;;; 9.7 Years ;;;
; OE-LWQ ;Embraer ERJ-195LR (ERJ-190-200 LR); CY120 ; 15 Feb 2017 ; Parked ; Silent Night ; 9.6 Years ;;;
