;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-321E ;Airbus A320-271N; Y180 ; 26 May 2021 ;lsd ; 1.1 Years ;;;
; B-322U ;Airbus A320-271N;; On Order ;; 0.8 Years ;;;
; B-323L ;Airbus A320-271N; C8Y150 ; On Order ;; 0.7 Years ;;;
; B-323M ;Airbus A320-271N; C8Y150 ; 29 Apr 2021 ;lsd ; 0.9 Years ;;;
; B-324M ;Airbus A320-271N; C8Y150 ; 29 Jun 2021 ;lsd ; 0.7 Years ;;;
; B-325G ;Airbus A320-271N; C8Y150 ; 17 Sep 2021 ;lsd ; 0.6 Years ;;;
; B-326K ;Airbus A320-271N;; 16 Dec 2021 ;; 0.4 Years ;;;
; B-328K ;Airbus A320-271N;; 29 Jan 2022 ; Parked, lsd ; 0.2 Years ;;;
; B-328L ;Airbus A320-271N;; On Order ;; 0.1 Years ;;;
; B-8680 ;Airbus A320-271N; C8Y150 ; 15 Nov 2017 ;lsd ; 4.3 Years ;;;
; B-8681 ;Airbus A320-271N; C8Y150 ; 11 Dec 2017 ;lsd ; 4.3 Years ;;;
; B-8683 ;Airbus A320-271N; C8Y150 ; 6 Nov 2017 ;lsd ; 4.4 Years ;;;
; B-8949 ;Airbus A320-271N; C8Y150 ; 2 Sep 2017 ;lsd, "Sichuan, more than pandas" sticker ; 4.5 Years ;;;
; B-8958 ;Airbus A320-271N; C8Y150 ; 3 Oct 2017 ;lsd ; 4.4 Years ;;;
; B-1057 ;Airbus A321-231(WL); C12Y177 ; 29 May 2018 ;lsd ; 3.8 Years ;;;
; B-1663 ;Airbus A321-231(WL); C8Y186 ; 21 May 2015 ;lsd ; 6.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-1677 ;Airbus A321-231(WL); C8Y186 ; 17 Feb 2015 ;lsd ; 7.1 Years ;;;
; B-1823 ;Airbus A321-231(WL); C8Y186 ; 17 Jun 2014 ;lsd ; 7.7 Years ;;;
; B-1890 ;Airbus A321-231(WL); C8Y186 ; 15 Oct 2014 ;; 7.4 Years ;;;
; B-1891 ;Airbus A321-231(WL); C8Y186 ; 21 Oct 2014 ;lsd ; 7.4 Years ;;;
; B-300A ;Airbus A321-231(WL); C12Y177 ; 22 Aug 2018 ;lsd ; 3.5 Years ;;;
; B-300C ;Airbus A321-231(WL); C12Y177 ; 17 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-302S ;Airbus A321-231(WL); C12Y177 ; 5 Nov 2018 ;lsd ; 3.4 Years ;;;
; B-304J ;Airbus A321-231(WL); C12Y177 ; 23 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-305T ;Airbus A321-231(WL); C12Y177 ; 27 Dec 2018 ;lsd ; 3.2 Years ;;;
; B-305U ;Airbus A321-231(WL); C12Y177 ; 20 Dec 2018 ;lsd ; 3.2 Years ;;;
; B-6387 ;Airbus A321-231; C8Y186 ; 15 Jul 2008 ;; 13.7 Years ;;;
; B-6551 ;Airbus A321-231; C8Y186 ; 11 Dec 2008 ;; 13.2 Years ;;;
; B-6590 ;Airbus A321-231; C8Y186 ; 30 Apr 2009 ;; 12.9 Years ;;;
; B-6598 ;Airbus A321-231; C8Y186 ; 31 Jul 2009 ;; 12.6 Years ;;;
; B-6718 ;Airbus A321-231; C8Y186 ; 26 Aug 2010 ; Parked, lsd ; 11.5 Years ;;;
; B-6810 ;Airbus A321-231; C8Y186 ; 7 Jun 2011 ;; 10.8 Years ;;;
; B-6836 ;Airbus A321-231; C8Y186 ; 30 Aug 2011 ;; 10.5 Years ;;;
; B-6838 ;Airbus A321-231; C8Y186 ; 29 Sep 2011 ;lsd ; 10.5 Years ;;;
; B-6839 ;Airbus A321-231; C8Y186 ; 30 Aug 2011 ;; 10.5 Years ;;;
; B-6845 ;Airbus A321-231; C8Y186 ; 16 Nov 2011 ;lsd ; 10.3 Years ;;;
; B-6899 ;Airbus A321-231; C8Y186 ; 2 Aug 2012 ;; 9.6 Years ;;;
; B-6906 ;Airbus A321-231; C8Y186 ; 29 May 2012 ;; 9.8 Years ;;;
; B-6920 ;Airbus A321-231; C8Y186 ; 27 Jun 2012 ;lsd ; 9.7 Years ;;;
; B-6957 ;Airbus A321-231; C8Y186 ; 28 Sep 2012 ;; 9.4 Years ;;;
; B-6968 ;Airbus A321-231(WL); C8Y186 ; 16 Apr 2013 ;; 8.9 Years ;;;
; B-8328 ;Airbus A321-231(WL); C8Y186 ; 27 Jul 2015 ;; 6.7 Years ;;;
; B-8376 ;Airbus A321-211(WL); C12Y177 ; 10 Mar 2016 ; Parked, lsd ; 6 Years ;;;
; B-8378 ;Airbus A321-211(WL); C12Y177 ; 21 Apr 2016 ;; 5.9 Years ;;;
; B-8438 ;Airbus A321-211(WL); C12Y177 ; 27 Oct 2016 ;lsd ; 5.4 Years ;;;
; B-8601 ;Airbus A321-211(WL); C12Y177 ; 28 Jun 2016 ;; 5.7 Years ;;;
; B-8602 ;Airbus A321-211(WL); C12Y177 ; 20 Jul 2016 ;; 5.6 Years ;;;
; B-8603 ;Airbus A321-211(WL); C12Y177 ; 8 Sep 2016 ;lsd ; 5.5 Years ;;;
; B-8605 ;Airbus A321-211(WL); C12Y177 ; 28 Oct 2016 ;; 5.4 Years ;;;
; B-8658 ;Airbus A321-211(WL); C12Y177 ; 29 Dec 2016 ; Parked ; 5.2 Years ;;;
; B-8686 ;Airbus A321-211(WL); C12Y177 ; 10 Aug 2017 ;lsd ; 4.6 Years ;;;
; B-8687 ;Airbus A321-211(WL); C12Y177 ; 9 Jun 2017 ;; 4.7 Years ;;;
; B-8960 ;Airbus A321-211(WL); C12Y177 ; 27 Mar 2017 ;; 4.9 Years ;;;
; B-8961 ;Airbus A321-211(WL); C12Y177 ; 18 Jan 2017 ;lsd ; 5.1 Years ;;;
; B-9936 ;Airbus A321-231(WL); C8Y186 ; 27 Jun 2013 ;lsd ; 8.7 Years ;;;
; B-9937 ;Airbus A321-231(WL); C8Y186 ; 19 Jun 2013 ;lsd ; 8.7 Years ;;;
; B-9967 ;Airbus A321-231(WL); C8Y186 ; 26 Sep 2013 ;lsd ; 9 Years ;;;
; B-1053 ;Airbus A321-271N; C8Y190 ; 19 Jun 2018 ;lsd ; 3.7 Years ;;;
; B-1055 ;Airbus A321-271N; C8Y190 ; 28 Sep 2018 ;lsd ; 3.4 Years ;;;
; B-1056 ;Airbus A321-271N; C8Y190 ; 8 Nov 2018 ;lsd ; 3.3 Years ;;;
; B-300D ;Airbus A321-271N; C8Y190 ; 22 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-302Q ;Airbus A321-271N; C8Y190 ; 20 Sep 2018 ;lsd ; 3.5 Years ;;;
; B-302T ;Airbus A321-271N; C8Y190 ; 22 Jan 2019 ;lsd ; 3.1 Years ;;;
; B-305S ;Airbus A321-271N; C8Y190 ; 11 Mar 2019 ;lsd ; 3 Years ;;;
; B-307D ;Airbus A321-271N; C8Y190 ; 27 Mar 2019 ;lsd ; 2.9 Years ;;;
; B-307E ;Airbus A321-271N; C8Y190 ; 6 Nov 2019 ;lsd ; 2.3 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-309C ;Airbus A321-271N; C8Y190 ; 21 Aug 2019 ;lsd ; 2.7 Years ;;;
; B-30AC ;Airbus A321-271N; C8Y190 ; 13 Nov 2019 ;lsd ; 2.3 Years ;;;
; B-30CJ ;Airbus A321-271N; C8Y190 ; 18 Dec 2019 ;lsd ; 2.2 Years ;;;
; B-30CS ;Airbus A321-271N; C8Y190 ; 28 Oct 2020 ;lsd ; 1.7 Years ;;;
; B-30D8 ;Airbus A321-271N; C8Y190 ; 26 Nov 2020 ;lsd ; 2 Years ;;;
; B-30FR ;Airbus A321-271NX; C8Y193 ; 19 Nov 2020 ;lsd ; 1.4 Years ;;;
