;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N329DN ;Airbus A321-211(WL); C20Y172 ; 27 Nov 2017 ;lsd ; 3029 ; 4.3 Years ;;;
; N330DX ;Airbus A321-211(WL); C20Y172 ; 6 Dec 2017 ;; 3030 ; 4.3 Years ;;;
; N331DN ;Airbus A321-211(WL); C20Y172 ; 15 Dec 2017 ;; 3031 ; 4.2 Years ;;;
; N332DN ;Airbus A321-211(WL); C20Y169 ; 27 Dec 2017 ;; 3032 ; 4.2 Years ;;;
; N333DX ;Airbus A321-211(WL); C20Y172 ; 20 Dec 2017 ;; 3033 ; 4.2 Years ;;;
; N334DN ;Airbus A321-211(WL); C20Y172 ; 22 Dec 2017 ;; 3034 ; 4.2 Years ;;;
; N335DN ;Airbus A321-211(WL); C20Y172 ; 1 Feb 2018 ;lsd ; 3035 ; 4.1 Years ;;;
; N336DX ;Airbus A321-211(WL); C20Y172 ; 20 Feb 2018 ;lsd ; 3036 ; 4.1 Years ;;;
; N337DN ;Airbus A321-211(WL); C20Y172 ; 27 Feb 2018 ;lsd ; 3037 ; 4 Years ;;;
; N338DN ;Airbus A321-211(WL); C20Y169 ; 13 Feb 2018 ;lsd ; 3038 ; 4.1 Years ;;;
; N339DN ;Airbus A321-211(WL); C20Y172 ; 5 Mar 2018 ;lsd ; 3039 ; 4.1 Years ;;;
; N340DN ;Airbus A321-211(WL); C20Y172 ; 8 Mar 2018 ;lsd ; 3040 ; 4 Years ;;;
; N341DN ;Airbus A321-211(WL); C20Y172 ; 16 Mar 2018 ;lsd ; 3041 ; 4 Years ;;;
; N342DN ;Airbus A321-211(WL); C20Y172 ; 6 Mar 2018 ;lsd ; 3042 ; 4 Years ;;;
; N343DN ;Airbus A321-211(WL); C20Y172 ; 17 May 2018 ;lsd ; 3043 ; 3.8 Years ;;;
; N344DN ;Airbus A321-211(WL); C20Y172 ; 13 Apr 2018 ;; 3044 ; 3.9 Years ;;;
