;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; D-AIQU ;Airbus A320-211; CY168 ; 21 Dec 2000 ; Parked DEB ; Backnang ; 21.3 Years ;;;
; D-AIQW ;Airbus A320-211; CY168 ; 21 Dec 2000 ;; Kleve ; 21.3 Years ;;;
; D-AIUA ;Airbus A320-214(WL); CY168 ; 15 Jan 2014 ;lsd, Star Alliance cs ; Köthen (Anhalt) ; 8.1 Years ;;;
; D-AIUB ;Airbus A320-214(WL); CY168 ; 10 Feb 2014 ;lsd ;; 8.1 Years ;;;
; D-AIUC ;Airbus A320-214(WL); CY168 ; 10 Mar 2014 ;lsd ;; 8 Years ;;;
; D-AIUD ;Airbus A320-214(WL); CY168 ; 20 Mar 2014 ; Parked, lsd ;; 8 Years ;;;
; D-AIUE ;Airbus A320-214(WL); CY168 ; 28 Apr 2014 ;;; 7.9 Years ;;;
; D-AIUF ;Airbus A320-214(WL); CY168 ; 12 Jun 2014 ;;; 7.7 Years ;;;
; D-AIUG ;Airbus A320-214(WL); CY168 ; 31 Jul 2014 ;lsd ;; 7.6 Years ;;;
; D-AIUH ;Airbus A320-214(WL); CY168 ; 6 Aug 2014 ;lsd ;; 7.6 Years ;;;
; D-AIUI ;Airbus A320-214(WL); CY168 ; 17 Sep 2014 ;lsd ;; 7.5 Years ;;;
; D-AIUJ ;Airbus A320-214(WL); CY168 ; 13 Oct 2014 ;;; 7.4 Years ;;;
; D-AIUK ;Airbus A320-214(WL); CY168 ; 15 Jan 2015 ;lsd ;; 7.1 Years ;;;
; D-AIUL ;Airbus A320-214(WL); CY168 ; 23 Mar 2015 ;lsd ;; 7 Years ;;;
; D-AIUM ;Airbus A320-214(WL); CY168 ; 27 Apr 2015 ;;; 6.9 Years ;;;
; D-AIUN ;Airbus A320-214(WL); CY168 ; 9 Apr 2015 ;;; 6.9 Years ;;;
; D-AIUO ;Airbus A320-214(WL); CY168 ; 27 Mar 2016 ;;; 6.8 Years ;;;
; D-AIUP ;Airbus A320-214(WL); CY168 ; 23 Mar 2016 ;;; 6.4 Years ;;;
; D-AIUQ ;Airbus A320-214(WL); CY180 ; 10 Feb 2016 ;;; 6.1 Years ;;;
; D-AIUR ;Airbus A320-214(WL); CY180 ; 25 Feb 2016 ;;; 6 Years ;;;
; D-AIUS ;Airbus A320-214(WL); CY180 ; 22 Mar 2016 ;;; 6 Years ;;;
; D-AIUT ;Airbus A320-214(WL); CY180 ; 12 May 2016 ;;; 5.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; D-AIUU ;Airbus A320-214(WL); CY180 ; 19 May 2016 ; Parked ;; 5.8 Years ;;;
; D-AIUV ;Airbus A320-214(WL); CY180 ; 13 Jun 2016 ;;; 5.7 Years ;;;
; D-AIUZ ;Airbus A320-214(WL); CY180 ; 10 Apr 2017 ; Parked ;; 4.9 Years ;;;
; D-AIWA ;Airbus A320-214(WL); CY180 ; 17 May 2017 ;;; 4.8 Years ;;;
; D-AIWB ;Airbus A320-214(WL); CY180 ; 24 May 2017 ;;; 4.8 Years ;;;
; D-AIWC ;Airbus A320-214(WL); CY180 ; 28 Dec 2018 ;; Memmingen ; 3.2 Years ;;;
; D-AIWD ;Airbus A320-214(WL); CY180 ; 31 Dec 2018 ;; Halberstadt ; 3.2 Years ;;;
; D-AIWE ;Airbus A320-214(WL); CY180 ; 16 Jan 2019 ;; Neustadt a.d. Weinstraße ; 3.2 Years ;;;
; D-AIWF ;Airbus A320-214(WL); CY180 ; 24 May 2019 ;; Bruchsal ; 2.8 Years ;;;
; D-AIWG ;Airbus A320-214(WL); CY180 ; 22 May 2019 ;; Greifswald ; 2.9 Years ;;;
; D-AIWH ;Airbus A320-214(WL); CY180 ; 8 Aug 2019 ;; Gummersbach ; 2.6 Years ;;;
; D-AIWI ;Airbus A320-214(WL); CY180 ; 11 Jul 2019 ;; Langenhagen ; 2.7 Years ;;;
; D-AIWJ ;Airbus A320-214(WL); CY180 ; 16 Sep 2019 ;; Stralsund ; 2.5 Years ;;;
; D-AIWK ;Airbus A320-214(WL); CY180 ; 27 Sep 2019 ;; Weiden in der Oberpfalz ; 2.4 Years ;;;
; D-AIZA ;Airbus A320-214; CY168 ; 18 Nov 2009 ;lsd ; Trier ; 12.3 Years ;;;
; D-AIZB ;Airbus A320-214; CY168 ; 7 Dec 2009 ; Parked BUD ; Norderstedt ; 12.2 Years ;;;
; D-AIZC ;Airbus A320-214; CY168 ; 13 Jan 2010 ;; Büdingen ; 12.1 Years ;;;
; D-AIZD ;Airbus A320-214; CY168 ; 16 Feb 2010 ;; Schwäbisch Gmünd ; 12 Years ;;;
; D-AIZE ;Airbus A320-214; CY168 ; 29 Mar 2010 ; Parked ; Eisenach ; 11.9 Years ;;;
; D-AIZF ;Airbus A320-214; CY168 ; 28 Apr 2010 ;; Fulda ; 11.9 Years ;;;
; D-AIZG ;Airbus A320-214; CY168 ; 31 May 2010 ;; Sindelfingen ; 11.8 Years ;;;
; D-AIZH ;Airbus A320-214; CY168 ; 30 Jun 2010 ; Parked SNN, Star Alliance cs ; Ahlen ; 11.7 Years ;;;
; D-AIZI ;Airbus A320-214; CY168 ; 18 Aug 2010 ;; Böblingen ; 11.6 Years ;;;
; D-AIZJ ;Airbus A320-214; CY168 ; 24 Sep 2010 ; Parked SNN ; Herford ; 11.5 Years ;;;
; D-AIZM ;Airbus A320-214; CY168 ; 18 Jul 2012 ;Star Alliance cs ;; 9.7 Years ;;;
; D-AIZN ;Airbus A320-214(WL); CY168 ; 23 Jan 2013 ;lsd, Star Alliance cs ;; 9.2 Years ;;;
; D-AIZO ;Airbus A320-214(WL); CY168 ; 23 Jan 2013 ;lsd ; Leinfelden-Echterdingen ; 9.1 Years ;;;
; D-AIZP ;Airbus A320-214(WL); CY168 ; 27 Feb 2013 ;lsd ; Plauen ; 9 Years ;;;
; D-AIZR ;Airbus A320-214(WL); CY180 ; Due ;lsd ;; 9 Years ;;;
; D-AIZS ;Airbus A320-214(WL); CY180 ; Due ;lsd ;; 8.9 Years ;;;
; D-AIZW ;Airbus A320-214(WL); CY168 ; 10 Jul 2013 ;; Wesel ; 8.7 Years ;;;
; D-AIZX ;Airbus A320-214(WL); CY168 ; 12 Aug 2013 ;; Buxtehude ; 8.6 Years ;;;
; D-AIZY ;Airbus A320-214(WL); CY168 ; 9 Sep 2013 ;; Limburg ; 8.5 Years ;;;
; D-AIZZ ;Airbus A320-214(WL); CY168 ; 4 Nov 2013 ;; Viernheim ; 8.4 Years ;;;
; D-AIJA ;Airbus A320-271N; CY180 ; 22 Sep 2020 ;; Bad Kissingen ; 1.5 Years ;;;
; D-AIJB ;Airbus A320-271N; CY180 ; 14 Sep 2020 ; Parked ; Eschwege ; 1.5 Years ;;;
; D-AIJC ;Airbus A320-271N; CY180 ; 19 Oct 2020 ;; Lünen ; 1.4 Years ;;;
; D-AIJD ;Airbus A320-271N; CY180 ; 31 Dec 2020 ;; Gera ; 1.2 Years ;;;
; D-AIJE ;Airbus A320-271N; CY180 ; 16 Mar 2021 ;; Bad Segeberg ; 1.1 Years ;;;
; D-AINA ;Airbus A320-271N; CY180 ; 20 Jan 2016 ;lsd ;; 6.2 Years ;;;
; D-AINB ;Airbus A320-271N; CY180 ; 29 Mar 2016 ;;; 6.1 Years ;;;
; D-AINC ;Airbus A320-271N; CY180 ; 12 Aug 2016 ;;; 5.8 Years ;;;
; D-AIND ;Airbus A320-271N; CY180 ; 28 Jul 2016 ;;; 5.6 Years ;;;
; D-AINE ;Airbus A320-271N; CY180 ; 29 Dec 2016 ;;; 5.2 Years ;;;
; D-AINF ;Airbus A320-271N; CY180 ; 27 Jul 2017 ; Parked ;; 4.6 Years ;;;
; D-AING ;Airbus A320-271N; CY180 ; 8 Sep 2017 ;;; 4.6 Years ;;;
; D-AINH ;Airbus A320-271N; CY180 ; 30 Aug 2017 ;;; 4.6 Years ;;;
; D-AINI ;Airbus A320-271N; CY180 ; 23 Oct 2017 ;;; 4.4 Years ;;;
; D-AINJ ;Airbus A320-271N; CY180 ; 23 Nov 2017 ;;; 4.4 Years ;;;
; D-AINK ;Airbus A320-271N; CY180 ; 26 Jul 2018 ;; Heidenheim an der Brenz ; 3.6 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; D-AINL ;Airbus A320-271N; CY180 ; 15 Aug 2018 ;; Weinheim an der Bergstraße ; 3.6 Years ;;;
; D-AINM ;Airbus A320-271N; CY180 ; 30 Aug 2018 ;; Freising ; 3.5 Years ;;;
; D-AINN ;Airbus A320-271N; CY180 ; 22 Oct 2018 ;; Lahr/Schwarzwald ; 3.4 Years ;;;
; D-AINO ;Airbus A320-271N; CY180 ; 5 Dec 2018 ;; Rastatt ; 3.3 Years ;;;
; D-AINP ;Airbus A320-271N; CY180 ; 31 Dec 2018 ;; Lörrach ; 3.2 Years ;;;
; D-AINQ ;Airbus A320-271N; CY180 ; 11 Jun 2019 ;; Bad Homburg vor der Höhe ; 2.8 Years ;;;
; D-AINR ;Airbus A320-271N; CY180 ; 26 Mar 2019 ;lsd ; Landau in der Pfalz ; 3 Years ;;;
; D-AINT ;Airbus A320-271N; CY180 ; 12 Feb 2019 ;lsd ; Goslar ; 3.1 Years ;;;
; D-AINU ;Airbus A320-271N; CY180 ; 15 Mar 2019 ;lsd ; Hof ; 3 Years ;;;
; D-AINV ;Airbus A320-271N; CY180 ; 10 Jan 2020 ;; Erding ; 2.2 Years ;;;
; D-AINW ;Airbus A320-271N; CY180 ; 12 Feb 2020 ;; Groß-Gerau ; 2.1 Years ;;;
; D-AINX ;Airbus A320-271N; CY180 ; 17 Dec 2019 ;; Neu-Isenburg ; 2.2 Years ;;;
; D-AINY ;Airbus A320-271N; CY180 ; 13 Aug 2020 ;; Lingen ; 1.6 Years ;;;
; D-AINZ ;Airbus A320-271N; CY180 ; 31 Jul 2020 ;; Neubrandenburg ; 1.7 Years ;;;
; D-AIRA ;Airbus A321-131; CY205 ; 27 Jan 1994 ; Parked BUD ; Finkenwerder ; 28.4 Years ;;;
; D-AIRB ;Airbus A321-131; CY205 ; 7 Feb 1994 ; Parked BUD ; Baden-Baden ; 28.2 Years ;;;
; D-AIRC ;Airbus A321-131; CY205 ; 15 Feb 1994 ; Parked ; Erlangen ; 28.1 Years ;;;
; D-AIRD ;Airbus A321-131; CY205 ; 7 Mar 1994 ; Parked ; Coburg ; 28 Years ;;;
; D-AIRE ;Airbus A321-131; CY205 ; 14 Apr 1994 ; Parked BUD ; Osnabrück ; 28 Years ;;;
; D-AIRF ;Airbus A321-131; CY205 ; 24 May 1994 ; Parked ; Kempten ; 27.9 Years ;;;
; D-AIRH ;Airbus A321-131; CY205 ; 5 Jul 1994 ; Parked BER ; Garmisch-Partenkirchen ; 28.6 Years ;;;
; D-AIRK ;Airbus A321-131; CY205 ; 19 Jul 1994 ; Parked ; Freudenstadt/Schwarzwald ; 27.7 Years ;;;
; D-AIRL ;Airbus A321-131; CY205 ; 20 Sep 1994 ;; Kulmbach ; 27.5 Years ;;;
; D-AIRM ;Airbus A321-131; CY205 ; 6 Feb 1995 ; Parked BUD ; Darmstadt ; 27.2 Years ;;;
; D-AIRN ;Airbus A321-131; CY205 ; 1 Dec 1995 ; Parked BUD ; Kaiserslautern ; 26.3 Years ;;;
; D-AIRO ;Airbus A321-131; CY205 ; 11 Dec 1995 ; Parked BUD ; Konstanz ; 26.3 Years ;;;
; D-AIRP ;Airbus A321-131; CY205 ; 31 Jan 1996 ; Parked BUD ; Lüneburg ; 26.3 Years ;;;
; D-AIRR ;Airbus A321-131; CY205 ; 26 Jan 1996 ; Parked SXF ; Wismar ; 26.2 Years ;;;
; D-AIRS ;Airbus A321-131; CY205 ; 28 Apr 1996 ; Parked BUD ; Husum ; 25.9 Years ;;;
; D-AIRT ;Airbus A321-131; CY205 ; 6 Mar 1997 ; Parked ; Regensburg ; 25 Years ;;;
; D-AIRU ;Airbus A321-131; CY205 ; 3 Jul 1997 ; Parked BUD ; Würzburg ; 24.7 Years ;;;
; D-AIRW ;Airbus A321-131; CY205 ; 25 Aug 1997 ;Star Alliance cs ; Heilbronn ; 24.6 Years ;;;
; D-AIRX ;Airbus A321-131; CY205 ; 1 Oct 1998 ; Parked BUD ; Weimar ; 23.5 Years ;;;
; D-AIRY ;Airbus A321-131; CY205 ; 4 Nov 1998 ; Parked AMM, Die Maus cs ; Flensburg ; 23.4 Years ;;;
; D-AIDA ;Airbus A321-231; CY205 ; 30 Jun 2010 ;; Pforzheim ; 11.7 Years ;;;
; D-AIDB ;Airbus A321-231; CY205 ; 21 Dec 2010 ;; Bayreuth ; 11.2 Years ;;;
; D-AIDC ;Airbus A321-231; CY205 ; 12 Jan 2011 ;; Bamberg ; 11.1 Years ;;;
; D-AIDD ;Airbus A321-231; CY205 ; 8 Feb 2011 ;; Wilhelmshaven ; 11.1 Years ;;;
; D-AIDE ;Airbus A321-231; CY205 ; 17 Feb 2011 ;; Dessau ; 11 Years ;;;
; D-AIDF ;Airbus A321-231; CY205 ; 29 Mar 2011 ;; Worms ; 11 Years ;;;
; D-AIDG ;Airbus A321-231; CY205 ; 11 Apr 2011 ;; Esslingen ; 10.9 Years ;;;
; D-AIDH ;Airbus A321-231; CY205 ; 18 May 2011 ;; Hildesheim ; 10.8 Years ;;;
; D-AIDI ;Airbus A321-231; CY205 ; 22 Jun 2011 ;; Salzgitter ; 10.7 Years ;;;
; D-AIDJ ;Airbus A321-231; CY205 ; 27 Jul 2011 ;; Remscheid ; 10.6 Years ;;;
; D-AIDK ;Airbus A321-231; CY205 ; 23 Aug 2011 ;; Iserlohn ; 10.6 Years ;;;
; D-AIDL ;Airbus A321-231; CY205 ; 21 Nov 2011 ; Parked ; Reutlingen ; 10.3 Years ;;;
; D-AIDM ;Airbus A321-231; CY205 ; 16 Nov 2011 ;; Recklinghausen ; 10.3 Years ;;;
; D-AIDN ;Airbus A321-231; CY205 ; 27 Dec 2011 ;; Neumünster ; 10.2 Years ;;;
; D-AIDO ;Airbus A321-231; CY205 ; 17 Jan 2012 ;;; 10.1 Years ;;;
; D-AIDP ;Airbus A321-231; CY205 ; 28 Feb 2012 ;; Paderborn ; 10 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; D-AIDQ ;Airbus A321-231; CY205 ; 8 Feb 2012 ; Parked ;; 10.1 Years ;;;
; D-AIDT ;Airbus A321-231; CY205 ; 30 Mar 2012 ;;; 10 Years ;;;
; D-AIDU ;Airbus A321-231; CY205 ; 25 Jun 2012 ; Parked ;; 9.7 Years ;;;
; D-AIDV ;Airbus A321-231; CY205 ; 19 Dec 2012 ; Parked, Retro cs ;; 9.2 Years ;;;
; D-AIDW ;Airbus A321-231; CY205 ; 13 Jan 2015 ; Parked, lsd ;; 7.2 Years ;;;
; D-AIDX ;Airbus A321-231; CY205 ; 4 Feb 2015 ;lsd ;; 7.1 Years ;;;
; D-AISB ;Airbus A321-231; CY205 ; 17 Sep 1999 ; Parked BUD ; Hameln ; 22.5 Years ;;;
; D-AISC ;Airbus A321-231; CY205 ; 24 Jan 2000 ; Parked BUD ; Speyer ; 22.2 Years ;;;
; D-AISD ;Airbus A321-231; CY205 ; 3 May 2000 ; Parked BUD ; Chemnitz ; 22 Years ;;;
; D-AISF ;Airbus A321-231; CY205 ; 30 Jun 2000 ; Parked ; Lippstadt ; 21.7 Years ;;;
; D-AISG ;Airbus A321-231; CY205 ; 18 Jul 2000 ; Parked BUD ; Dormagen ; 21.6 Years ;;;
; D-AISH ;Airbus A321-231; CY205 ; 10 Oct 2007 ;lsd ; Wetzlar ; 14.4 Years ;;;
; D-AISI ;Airbus A321-231; CY205 ; 12 Dec 2007 ; Parked ; Bergheim ; 14.2 Years ;;;
; D-AISJ ;Airbus A321-231; CY205 ; 23 Jan 2008 ;; Gütersloh ; 14.1 Years ;;;
; D-AISK ;Airbus A321-231; CY205 ; 4 Feb 2008 ; Parked ; Emden ; 14.1 Years ;;;
; D-AISL ;Airbus A321-231; CY205 ; 11 Mar 2008 ;; Arnsberg ; 14 Years ;;;
; D-AISN ;Airbus A321-231; CY205 ; 21 Jul 2008 ;; Göppingen ; 13.6 Years ;;;
; D-AISO ;Airbus A321-231; CY205 ; 25 Aug 2008 ; Parked BUD ; Bocholt ; 13.5 Years ;;;
; D-AISP ;Airbus A321-231; CY205 ; 1 Apr 2009 ; Parked BUD ; Rosenheim ; 12.9 Years ;;;
; D-AISQ ;Airbus A321-231; CY205 ; 10 Jun 2009 ; Parked ; Lindau ; 12.7 Years ;;;
; D-AISR ;Airbus A321-231; CY205 ; 22 Jul 2009 ; Parked, lsd ; Donauwörth ; 12.6 Years ;;;
; D-AIST ;Airbus A321-231; CY205 ; 19 Aug 2009 ; Parked, lsd ; Erbach/Odenwald ; 12.6 Years ;;;
; D-AISU ;Airbus A321-231; CY205 ; 26 Aug 2009 ; Parked BER ; Nördlingen ; 12.5 Years ;;;
; D-AISV ;Airbus A321-231; CY205 ; 30 Sep 2009 ; Parked BER ; Bingen am Rhein ; 12.4 Years ;;;
; D-AISW ;Airbus A321-231; CY205 ; 21 Oct 2009 ; Parked BUD ; Stade ; 12.4 Years ;;;
; D-AISX ;Airbus A321-231; CY205 ; 26 Oct 2009 ; Parked ; Celle ; 12.4 Years ;;;
; D-AISZ ;Airbus A321-231; CY205 ; 2 Nov 2009 ; Parked BUD ; Eberswalde ; 12.3 Years ;;;
; D-AIEA ;Airbus A321-271NX; CY215 ; 2 May 2019 ;; Aachen ; 2.9 Years ;;;
; D-AIEB ;Airbus A321-271NX; CY215 ; 18 Jun 2019 ;; Bielefeld ; 2.8 Years ;;;
; D-AIEC ;Airbus A321-271NX; CY215 ; 26 Aug 2019 ;; Cottbus ; 2.5 Years ;;;
; D-AIED ;Airbus A321-271NX; CY215 ; 20 Sep 2019 ;; Düren ; 2.5 Years ;;;
; D-AIEE ;Airbus A321-271NX; CY215 ; 9 Dec 2019 ;; Minden ; 2.3 Years ;;;
; D-AIEF ;Airbus A321-271NX; CY215 ; 18 Dec 2020 ;; Forchheim ; 1.2 Years ;;;
; D-AIEG ;Airbus A321-271NX; CY215 ; 9 Mar 2021 ;; Naumburg ; 1 Years ;;;
; D-AIEH ;Airbus A321-271NX; CY215 ; 6 May 2021 ;; Suhl ; 0.9 Years ;;;
; D-AIEI ;Airbus A321-271NX; CY215 ; 6 May 2021 ;; Uhingen ; 0.9 Years ;;;
; D-AIEJ ;Airbus A321-271NX; CY215 ; 30 Jun 2021 ;; Füssen ; 0.7 Years ;;;
; D-AIEK ;Airbus A321-271NX; CY215 ; 30 Jul 2021 ;; Espelkamp ; 0.6 Years ;;;
; D-AIEL ;Airbus A321-271NX; CY215 ; 24 Feb 2022 ;; Laupheim ; 0.4 Years ;;;
; D-AIEM ;Airbus A321-271NX; CY215 ; On Order ;; Murrhardt ; 0.3 Years ;;;
; D-AIEN ;Airbus A321-271NX; CY215 ; On Order ;; Lübbecke ;;;;
; D-AIKE ;Airbus A330-343; C42W28Y185 ; 3 Dec 2004 ;lsd ; Landshut ; 17.4 Years ;;;
; D-AIKF ;Airbus A330-343; C42W28Y185 ; 17 Dec 2004 ;lsd ; Witten ; 17.3 Years ;;;
; D-AIKG ;Airbus A330-343; C42W28Y185 ; 7 Dec 2021 ; Parked MNL ; Ludwigsburg ; 17.2 Years ;;;
; D-AIKI ;Airbus A330-343; C42W28Y185 ; 9 Sep 2005 ;; Jena ; 16.6 Years ;;;
; D-AIKK ;Airbus A330-343; C42W28Y185 ; 31 Jan 2008 ;; Fürth ; 14.1 Years ;;;
; D-AIKL ;Airbus A330-343; C42W28Y185 ; 5 Mar 2008 ;; Ingolstadt ; 14.1 Years ;;;
; D-AIKM ;Airbus A330-343; C42W28Y185 ; 19 Mar 2008 ;;; 14 Years ;;;
; D-AIKN ;Airbus A330-343; C42W28Y185 ; 21 May 2008 ;;; 13.9 Years ;;;
; D-AIKO ;Airbus A330-343; C42W28Y185 ; 18 Feb 2009 ;; Koblenz ; 13.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; D-AIKP ;Airbus A330-343; C42W28Y185 ; 4 Apr 2012 ;; Bottrop ; 10.1 Years ;;;
; D-AIKQ ;Airbus A330-343; C42W28Y185 ; 27 Apr 2012 ;; Zwickau ; 9.9 Years ;;;
; D-AIKR ;Airbus A330-343; C42W28Y185 ; 31 May 2012 ; Parked ; Oldenburg ; 9.8 Years ;;;
; D-AIKS ;Airbus A330-343; C42W28Y185 ; 12 Mar 2014 ;;; 8 Years ;;;
; D-AIFC ;Airbus A340-313; C30W28Y221 ; 26 Jan 2001 ;; Gander/Halifax ; 21.2 Years ;;;
; D-AIFD ;Airbus A340-313; C30W28Y221 ; 16 Mar 2001 ;; Gießen ; 21.1 Years ;;;
; D-AIFE ;Airbus A340-313; C18W19Y261 ; 29 Oct 2001 ; Parked TEV, Star Alliance cs ; Passau ; 20.4 Years ;;;
; D-AIFF ;Airbus A340-313; C18W19Y261 ; 21 Dec 2001 ; Parked TEV ; Delmenhorst ; 20.2 Years ;;;
; D-AIGL ;Airbus A340-313; C30W28Y221 ; 10 May 1996 ;; Herne ; 25.9 Years ;;;
; D-AIGM ;Airbus A340-313; C30W28Y221 ; 28 Jan 1997 ;; Görlitz ; 25.1 Years ;;;
; D-AIGN ;Airbus A340-313; C30W28Y221 ; 12 Mar 1998 ;Star Alliance cs ; Solingen ; 24 Years ;;;
; D-AIGO ;Airbus A340-313; C30W28Y221 ; 7 Aug 1998 ;;; 23.6 Years ;;;
; D-AIGP ;Airbus A340-313; C18W19Y261 ; 30 Dec 1998 ;Star Alliance cs ;; 23.2 Years ;;;
; D-AIGS ;Airbus A340-313; C30W28Y221 ; 13 Oct 1999 ;; Bergisch-Gladbach ; 22.4 Years ;;;
; D-AIGT ;Airbus A340-313; C30W28Y221 ; 20 Dec 1999 ;; Viersen ; 22.3 Years ;;;
; D-AIGU ;Airbus A340-313; C30W28Y221 ; 18 Feb 2000 ;; Castrop-Rauxel ; 22.1 Years ;;;
; D-AIGV ;Airbus A340-313; C30W28Y221 ; 25 Feb 2000 ;Star Alliance cs ; Dinslaken ; 22.1 Years ;;;
; D-AIGW ;Airbus A340-313; C18W19Y261 ; 10 Mar 2000 ;Star Alliance cs ; Gladbeck ; 22 Years ;;;
; D-AIGX ;Airbus A340-313; C30W28Y221 ; 25 Jun 2019 ;; Rheine ; 21.6 Years ;;;
; D-AIGY ;Airbus A340-313; C30W28Y221 ; 9 Oct 2019 ;; Dorsten ; 21.8 Years ;;;
; D-AIGZ ;Airbus A340-313; C30W28Y221 ; 8 Jun 2015 ;; Villingen-Schwenningen ; 21.7 Years ;;;
; D-AIHI ;Airbus A340-642; F8C44W32Y213 ; 27 Apr 2004 ; Parked TEV ; Mönchengladbach ; 18.1 Years ;;;
; D-AIHP ;Airbus A340-642; F8C44W32Y213 ; 28 Nov 2006 ; Parked TEV ;; 15.3 Years ;;;
; D-AIHT ;Airbus A340-642; F8C44W32Y213 ; 29 Apr 2008 ; Parked ;; 13.9 Years ;;;
; D-AIHU ;Airbus A340-642; F8C44W32Y213 ; 29 May 2008 ; Parked TEV ;; 13.8 Years ;;;
; D-AIHV ;Airbus A340-642; F8C44W32Y213 ; 28 Mar 2008 ; Parked MLA ;; 14 Years ;;;
; D-AIVA ;Airbus A350-941; C30W24Y241 ; 22 Dec 2021 ; Parked, lsd ;; 3.6 Years ;;;
; D-AIVB ;Airbus A350-941; C30W24Y241 ; Due ; Stored, lsd ;; 3.6 Years ;;;
; D-AIVC ;Airbus A350-941; C30W24Y241 ; Due ; Stored ;; 3.5 Years ;;;
; D-AIVD ;Airbus A350-941; C30W24Y241 ; Due ; Stored, lsd ;; 3.1 Years ;;;
; D-AIXA ;Airbus A350-941; C48W21Y224 ; 19 Dec 2016 ;; Nürnberg ; 5.2 Years ;;;
; D-AIXB ;Airbus A350-941; C48W21Y224 ; 22 Feb 2017 ;; Stuttgart ; 5.1 Years ;;;
; D-AIXC ;Airbus A350-941; C48W21Y224 ; 30 Mar 2017 ;lsd ; Saarbrücken ; 5 Years ;;;
